Epoch,PPL,NPMI
  0,   3278.90,  0.1998
  1,   2961.93,  0.2170
  2,   2749.61,  0.2282
  3,   2597.57,  0.2498
  4,   2477.87,  0.2574
  5,   2395.31,  0.2671
  6,   2307.76,  0.2723
  7,   2245.59,  0.2782
  8,   2195.87,  0.2830
  9,   2153.85,  0.2894
 10,   2101.05,  0.2932
 11,   2081.85,  0.2932
 12,   2056.53,  0.2928
 13,   2018.84,  0.2973
 14,   1989.55,  0.2947
 15,   1968.12,  0.2956
 16,   1960.47,  0.3013
 17,   1940.78,  0.3008
 18,   1911.46,  0.2962
 19,   1887.50,  0.2927
 20,   1874.52,  0.2910
 21,   1868.86,  0.2915
 22,   1842.71,  0.2878
 23,   1828.27,  0.2892
 24,   1824.87,  0.2859
 25,   1799.94,  0.2898
 26,   1791.51,  0.2953
 27,   1783.61,  0.2933
 28,   1766.40,  0.2985
 29,   1754.49,  0.2957
 30,   1752.32,  0.2899
 31,   1747.29,  0.2896
 32,   1732.20,  0.2891
 33,   1722.45,  0.2900
 34,   1714.17,  0.2868
 35,   1703.04,  0.2857
 36,   1705.42,  0.2843
 37,   1688.39,  0.2817
 38,   1682.09,  0.2844
 39,   1663.77,  0.2818
 40,   1661.29,  0.2809
 41,   1664.56,  0.2828
 42,   1651.74,  0.2801
 43,   1635.78,  0.2782
 44,   1632.47,  0.2753
 45,   1624.42,  0.2753
 46,   1628.37,  0.2714
 47,   1620.67,  0.2726
 48,   1605.74,  0.2672
 49,   1594.79,  0.2694
 50,   1598.13,  0.2696
 51,   1589.27,  0.2676
 52,   1591.65,  0.2724
 53,   1575.07,  0.2737
 54,   1584.30,  0.2720
 55,   1568.77,  0.2710
 56,   1564.60,  0.2716
 57,   1559.17,  0.2652
 58,   1546.57,  0.2649
 59,   1550.90,  0.2642
 60,   1536.28,  0.2628
 61,   1543.80,  0.2598
 62,   1535.02,  0.2595
 63,   1524.88,  0.2600
 64,   1520.16,  0.2620
 65,   1515.76,  0.2601
 66,   1513.04,  0.2614
 67,   1506.45,  0.2622
 68,   1497.86,  0.2620
 69,   1497.44,  0.2611
 70,   1499.57,  0.2608
 71,   1501.33,  0.2596
 72,   1494.77,  0.2601
 73,   1497.44,  0.2614
 74,   1481.40,  0.2580
 75,   1475.44,  0.2562
 76,   1480.14,  0.2543
 77,   1468.90,  0.2569
 78,   1468.81,  0.2555
 79,   1462.78,  0.2592
 80,   1468.10,  0.2587
 81,   1463.72,  0.2591
 82,   1450.07,  0.2571
 83,   1460.61,  0.2568
 84,   1440.03,  0.2564
 85,   1463.61,  0.2554
 86,   1449.72,  0.2543
 87,   1431.55,  0.2548
 88,   1437.32,  0.2549
 89,   1431.65,  0.2526
 90,   1427.54,  0.2521
 91,   1416.30,  0.2501
 92,   1430.94,  0.2450
 93,   1413.71,  0.2473
 94,   1411.20,  0.2453
 95,   1409.88,  0.2472
 96,   1407.61,  0.2468
 97,   1409.29,  0.2473
 98,   1399.70,  0.2481
 99,   1394.97,  0.2491
100,   1406.93,  0.2479
101,   1400.16,  0.2476
102,   1397.25,  0.2492
103,   1399.91,  0.2458
104,   1387.59,  0.2452
105,   1386.59,  0.2424
106,   1391.67,  0.2394
107,   1385.17,  0.2366
108,   1390.95,  0.2349
109,   1391.17,  0.2337
110,   1376.60,  0.2299
111,   1363.49,  0.2281
112,   1365.54,  0.2281
113,   1369.82,  0.2281
114,   1350.17,  0.2272
115,   1358.57,  0.2281
116,   1357.89,  0.2297
117,   1360.30,  0.2293
118,   1355.12,  0.2274
119,   1355.36,  0.2259
