Epoch,PPL,NPMI
  0,   2362.82,  0.1877
  1,   2151.27,  0.1657
  2,   2084.74,  0.1457
  3,   2033.83,  0.1099
  4,   1995.80,  0.0934
  5,   1964.30,  0.0732
  6,   1964.46,  0.0742
  7,   1937.72,  0.0849
  8,   1961.51,  0.0732
  9,   1953.37,  0.0703
 10,   1932.68,  0.0589
 11,   1912.23,  0.0588
 12,   1945.59,  0.0627
 13,   1921.59,  0.0629
 14,   1922.14,  0.0577
 15,   1915.97,  0.0570
 16,   1948.11,  0.0544
 17,   1930.86,  0.0516
 18,   1921.53,  0.0477
 19,   1893.35,  0.0496
 20,   1881.45,  0.0408
 21,   1907.43,  0.0518
 22,   1922.43,  0.0444
 23,   1905.24,  0.0457
 24,   1915.56,  0.0424
 25,   1918.50,  0.0424
 26,   1902.50,  0.0453
 27,   1894.27,  0.0453
 28,   1939.15,  0.0441
 29,   1926.59,  0.0453
 30,   1921.81,  0.0443
 31,   1877.84,  0.0389
 32,   1925.72,  0.0426
 33,   1941.84,  0.0383
 34,   1871.84,  0.0326
 35,   1933.18,  0.0336
 36,   1966.83,  0.0362
 37,   1898.12,  0.0372
 38,   1912.44,  0.0415
 39,   1908.69,  0.0296
 40,   1903.07,  0.0341
 41,   1925.98,  0.0334
 42,   1884.67,  0.0345
 43,   1920.60,  0.0341
 44,   1904.87,  0.0304
 45,   1941.76,  0.0353
 46,   1942.77,  0.0331
 47,   1943.60,  0.0299
 48,   1926.74,  0.0261
 49,   1917.11,  0.0281
 50,   1880.25,  0.0311
 51,   1918.24,  0.0321
 52,   1896.00,  0.0322
 53,   1925.11,  0.0291
 54,   1933.37,  0.0342
 55,   1915.92,  0.0336
 56,   1900.57,  0.0363
 57,   1885.44,  0.0356
 58,   1921.14,  0.0333
 59,   1898.12,  0.0308
 60,   1895.53,  0.0296
 61,   1920.52,  0.0306
 62,   1887.79,  0.0302
 63,   1893.53,  0.0371
 64,   1914.98,  0.0286
 65,   1888.57,  0.0268
 66,   1911.74,  0.0261
 67,   1937.05,  0.0308
 68,   1892.94,  0.0267
 69,   1904.78,  0.0317
 70,   1890.60,  0.0317
 71,   1888.41,  0.0337
 72,   1919.38,  0.0302
 73,   1913.45,  0.0271
 74,   1904.30,  0.0349
 75,   1887.87,  0.0352
 76,   1864.71,  0.0304
 77,   1910.15,  0.0260
 78,   1905.84,  0.0260
 79,   1955.47,  0.0285
 80,   1919.06,  0.0289
 81,   1932.53,  0.0312
 82,   1870.98,  0.0281
 83,   1925.82,  0.0301
 84,   1905.35,  0.0316
 85,   1890.29,  0.0304
 86,   1916.59,  0.0318
 87,   1915.96,  0.0357
 88,   1916.43,  0.0354
 89,   1905.85,  0.0308
 90,   1918.44,  0.0312
 91,   1922.04,  0.0300
 92,   1942.53,  0.0318
 93,   1882.06,  0.0336
 94,   1937.95,  0.0305
 95,   1896.51,  0.0329
 96,   1954.68,  0.0317
 97,   1928.51,  0.0317
 98,   1903.60,  0.0305
 99,   1927.32,  0.0337
100,   1905.04,  0.0310
101,   1917.37,  0.0282
102,   1893.97,  0.0317
103,   1916.54,  0.0316
104,   1900.36,  0.0295
105,   1921.59,  0.0253
106,   1896.50,  0.0265
107,   1925.89,  0.0321
108,   1918.66,  0.0335
109,   1928.24,  0.0306
110,   1909.88,  0.0322
111,   1933.48,  0.0317
112,   1925.90,  0.0264
113,   1924.66,  0.0310
114,   1914.58,  0.0269
115,   1891.87,  0.0283
116,   1893.75,  0.0314
117,   1909.79,  0.0260
118,   1879.37,  0.0265
119,   1910.26,  0.0284
