Epoch,PPL,NPMI
  0,   1052.99,  0.1044
  1,   1052.42,  0.1019
  2,   1052.16,  0.1061
  3,   1051.57,  0.1040
  4,   1050.74,  0.1195
  5,   1050.21,  0.1271
  6,   1049.23,  0.1236
  7,   1047.94,  0.1378
  8,   1045.65,  0.1409
  9,   1043.06,  0.1411
 10,   1040.58,  0.1495
 11,   1037.06,  0.1541
 12,   1033.33,  0.1698
 13,   1027.82,  0.1732
 14,   1023.83,  0.1765
 15,   1021.95,  0.1771
 16,   1012.56,  0.1825
 17,   1009.87,  0.1924
 18,   1006.97,  0.2063
 19,    996.24,  0.2135
 20,    994.19,  0.2160
 21,    988.04,  0.2171
 22,    983.08,  0.2214
 23,    978.25,  0.2252
 24,    971.61,  0.2238
 25,    971.26,  0.2235
 26,    961.26,  0.2253
 27,    961.46,  0.2239
 28,    952.91,  0.2226
 29,    945.08,  0.2248
 30,    943.20,  0.2268
 31,    940.75,  0.2264
 32,    937.68,  0.2288
 33,    930.65,  0.2291
 34,    927.08,  0.2320
 35,    920.36,  0.2320
 36,    921.79,  0.2276
 37,    919.88,  0.2291
 38,    910.90,  0.2312
 39,    909.97,  0.2300
 40,    905.72,  0.2285
 41,    904.24,  0.2270
 42,    902.09,  0.2304
 43,    901.18,  0.2314
 44,    897.34,  0.2299
 45,    889.98,  0.2297
 46,    895.62,  0.2341
 47,    890.42,  0.2339
 48,    883.75,  0.2264
 49,    882.95,  0.2268
 50,    877.77,  0.2250
 51,    875.82,  0.2251
 52,    878.71,  0.2263
 53,    876.49,  0.2284
 54,    870.27,  0.2282
 55,    871.16,  0.2293
 56,    865.04,  0.2320
 57,    862.28,  0.2332
 58,    863.62,  0.2323
 59,    866.73,  0.2323
 60,    862.17,  0.2326
 61,    857.51,  0.2322
 62,    857.14,  0.2356
 63,    852.91,  0.2352
 64,    852.58,  0.2363
 65,    853.26,  0.2395
 66,    842.09,  0.2411
 67,    842.87,  0.2428
 68,    845.22,  0.2476
 69,    842.58,  0.2508
 70,    843.69,  0.2520
 71,    836.69,  0.2532
 72,    839.83,  0.2536
 73,    840.99,  0.2544
 74,    837.82,  0.2552
 75,    830.26,  0.2573
 76,    835.24,  0.2585
 77,    832.32,  0.2583
 78,    834.54,  0.2591
 79,    829.78,  0.2591
 80,    832.04,  0.2607
 81,    835.26,  0.2604
 82,    825.61,  0.2609
 83,    829.10,  0.2609
 84,    825.47,  0.2614
 85,    819.45,  0.2630
 86,    822.88,  0.2630
 87,    819.50,  0.2629
 88,    827.25,  0.2635
 89,    819.17,  0.2637
 90,    818.67,  0.2639
 91,    814.56,  0.2639
 92,    817.04,  0.2632
 93,    817.84,  0.2646
 94,    813.14,  0.2637
 95,    814.47,  0.2644
 96,    815.37,  0.2644
 97,    805.21,  0.2646
 98,    817.01,  0.2647
 99,    811.77,  0.2650
100,    809.64,  0.2656
101,    807.14,  0.2655
102,    809.11,  0.2682
103,    806.04,  0.2664
104,    805.03,  0.2684
105,    808.97,  0.2686
106,    810.36,  0.2679
107,    805.67,  0.2692
108,    799.39,  0.2687
109,    802.35,  0.2695
110,    796.37,  0.2695
111,    805.99,  0.2709
112,    803.83,  0.2730
113,    797.84,  0.2742
114,    793.80,  0.2727
115,    796.15,  0.2723
116,    800.15,  0.2736
117,    791.96,  0.2733
118,    800.65,  0.2732
119,    801.40,  0.2764
120,    796.49,  0.2770
121,    793.51,  0.2770
122,    791.55,  0.2795
123,    801.40,  0.2809
124,    800.40,  0.2816
125,    800.21,  0.2806
126,    796.41,  0.2816
127,    788.12,  0.2832
128,    794.14,  0.2834
129,    796.06,  0.2822
130,    789.34,  0.2828
131,    794.49,  0.2827
132,    788.66,  0.2825
133,    793.01,  0.2820
134,    783.68,  0.2820
135,    785.53,  0.2823
136,    785.84,  0.2817
137,    788.41,  0.2810
138,    787.70,  0.2810
139,    783.54,  0.2823
140,    787.98,  0.2804
141,    784.13,  0.2804
142,    783.19,  0.2826
143,    783.28,  0.2826
144,    784.58,  0.2833
145,    783.70,  0.2801
146,    786.26,  0.2824
147,    784.25,  0.2841
148,    780.60,  0.2852
149,    786.05,  0.2855
150,    784.25,  0.2859
151,    785.10,  0.2856
152,    785.01,  0.2853
153,    784.56,  0.2855
154,    776.78,  0.2854
155,    787.49,  0.2854
156,    778.88,  0.2879
157,    777.35,  0.2864
158,    773.07,  0.2879
159,    778.96,  0.2882
160,    781.24,  0.2872
161,    779.56,  0.2872
162,    777.34,  0.2876
163,    769.98,  0.2871
164,    776.50,  0.2858
165,    777.80,  0.2875
166,    776.66,  0.2889
167,    777.73,  0.2897
168,    778.86,  0.2901
169,    774.57,  0.2917
170,    780.13,  0.2912
171,    781.78,  0.2919
172,    780.02,  0.2919
173,    773.80,  0.2919
174,    776.26,  0.2901
175,    775.48,  0.2911
176,    783.88,  0.2877
177,    778.95,  0.2877
178,    772.11,  0.2892
179,    775.04,  0.2897
