Epoch,PPL,NPMI
  0,   3743.66,  0.0317
  1,   3727.64,  0.0553
  2,   3685.44,  0.1068
  3,   3601.75,  0.1450
  4,   3504.09,  0.1693
  5,   3411.66,  0.2013
  6,   3329.59,  0.2102
  7,   3266.79,  0.2253
  8,   3217.81,  0.2471
  9,   3160.33,  0.2533
 10,   3131.89,  0.2661
 11,   3053.21,  0.2748
 12,   3034.02,  0.2776
 13,   2991.06,  0.2857
 14,   2968.27,  0.2831
 15,   2924.08,  0.2968
 16,   2908.90,  0.2958
 17,   2881.95,  0.3001
 18,   2836.18,  0.2974
 19,   2823.52,  0.3015
 20,   2807.47,  0.2985
 21,   2800.99,  0.2966
 22,   2766.26,  0.2999
 23,   2746.73,  0.3060
 24,   2742.13,  0.3068
 25,   2686.09,  0.3130
 26,   2688.75,  0.3174
 27,   2696.50,  0.3249
 28,   2708.83,  0.3280
 29,   2676.73,  0.3293
 30,   2672.97,  0.3312
 31,   2627.53,  0.3309
 32,   2663.80,  0.3297
 33,   2635.62,  0.3294
 34,   2621.15,  0.3316
 35,   2651.52,  0.3286
 36,   2642.00,  0.3271
 37,   2582.43,  0.3275
 38,   2609.74,  0.3251
 39,   2589.56,  0.3267
 40,   2599.54,  0.3214
 41,   2578.80,  0.3186
 42,   2564.55,  0.3126
 43,   2568.54,  0.3122
 44,   2555.17,  0.3109
 45,   2552.74,  0.3032
 46,   2567.61,  0.3009
 47,   2570.78,  0.2988
 48,   2569.77,  0.2872
 49,   2532.82,  0.2904
 50,   2541.52,  0.2844
 51,   2567.75,  0.2823
 52,   2558.34,  0.2842
 53,   2529.67,  0.2837
 54,   2554.17,  0.2862
 55,   2548.39,  0.2818
 56,   2509.82,  0.2768
 57,   2513.46,  0.2747
 58,   2539.97,  0.2681
 59,   2498.67,  0.2670
 60,   2499.07,  0.2670
 61,   2529.38,  0.2578
 62,   2512.16,  0.2649
 63,   2506.88,  0.2530
 64,   2537.37,  0.2465
 65,   2506.79,  0.2327
 66,   2499.23,  0.2292
 67,   2519.02,  0.2328
 68,   2489.78,  0.2225
 69,   2489.02,  0.2211
 70,   2524.53,  0.2215
 71,   2523.51,  0.2226
 72,   2510.51,  0.2224
 73,   2521.99,  0.2197
 74,   2472.11,  0.2145
 75,   2497.44,  0.2152
 76,   2470.14,  0.2207
 77,   2494.59,  0.2157
 78,   2512.83,  0.2055
 79,   2521.83,  0.2062
 80,   2505.38,  0.2071
 81,   2507.47,  0.2020
 82,   2490.25,  0.2032
 83,   2505.83,  0.2064
 84,   2510.07,  0.2068
 85,   2503.55,  0.2077
 86,   2492.01,  0.2015
 87,   2498.06,  0.2035
 88,   2501.16,  0.2078
 89,   2497.50,  0.2074
 90,   2501.36,  0.2007
 91,   2525.99,  0.1976
 92,   2509.84,  0.2019
 93,   2468.80,  0.1933
 94,   2518.76,  0.1928
 95,   2474.63,  0.1885
 96,   2505.54,  0.1883
 97,   2503.43,  0.1889
 98,   2518.39,  0.1942
 99,   2521.38,  0.1923
100,   2501.48,  0.1911
101,   2508.42,  0.1888
102,   2503.54,  0.1876
103,   2505.72,  0.1876
104,   2494.25,  0.1772
105,   2505.21,  0.1757
106,   2482.95,  0.1783
107,   2487.97,  0.1734
108,   2516.10,  0.1782
109,   2511.24,  0.1732
110,   2487.92,  0.1712
111,   2503.09,  0.1702
112,   2508.08,  0.1688
113,   2510.97,  0.1707
114,   2480.65,  0.1710
115,   2486.33,  0.1683
116,   2514.09,  0.1687
117,   2490.28,  0.1686
118,   2462.98,  0.1715
119,   2501.61,  0.1715
