Epoch,PPL,NPMI
  0,   1881.98,  0.0679
  1,   1855.36,  0.0812
  2,   1831.54,  0.0874
  3,   1812.06,  0.0923
  4,   1792.49,  0.0936
  5,   1778.68,  0.0983
  6,   1766.04,  0.1005
  7,   1753.41,  0.1053
  8,   1740.66,  0.1067
  9,   1728.46,  0.1106
 10,   1721.86,  0.1141
 11,   1709.21,  0.1129
 12,   1702.15,  0.1178
 13,   1695.38,  0.1227
 14,   1689.39,  0.1228
 15,   1683.66,  0.1227
 16,   1676.29,  0.1232
 17,   1670.31,  0.1241
 18,   1667.47,  0.1262
 19,   1661.78,  0.1263
 20,   1656.26,  0.1282
 21,   1648.31,  0.1286
 22,   1646.47,  0.1328
 23,   1641.37,  0.1334
 24,   1640.78,  0.1344
 25,   1632.90,  0.1345
 26,   1633.22,  0.1354
 27,   1623.32,  0.1351
 28,   1625.57,  0.1381
 29,   1617.59,  0.1385
 30,   1617.25,  0.1384
 31,   1608.96,  0.1386
 32,   1609.74,  0.1370
 33,   1607.28,  0.1378
 34,   1602.73,  0.1373
 35,   1597.48,  0.1391
 36,   1599.01,  0.1390
 37,   1595.65,  0.1386
 38,   1587.47,  0.1385
 39,   1587.32,  0.1404
 40,   1582.41,  0.1410
 41,   1582.78,  0.1423
 42,   1585.24,  0.1420
 43,   1580.23,  0.1425
 44,   1575.96,  0.1433
 45,   1574.00,  0.1430
 46,   1570.43,  0.1432
 47,   1570.42,  0.1432
 48,   1567.42,  0.1455
 49,   1565.24,  0.1464
 50,   1561.67,  0.1472
 51,   1560.99,  0.1436
 52,   1559.95,  0.1455
 53,   1557.94,  0.1439
 54,   1554.96,  0.1471
 55,   1555.06,  0.1469
 56,   1550.15,  0.1473
 57,   1551.52,  0.1467
 58,   1544.21,  0.1462
 59,   1545.95,  0.1464
 60,   1546.48,  0.1462
 61,   1540.83,  0.1464
 62,   1539.31,  0.1463
 63,   1539.20,  0.1463
 64,   1536.73,  0.1462
 65,   1535.85,  0.1472
 66,   1534.89,  0.1469
 67,   1531.33,  0.1475
 68,   1528.44,  0.1494
 69,   1531.16,  0.1494
 70,   1527.28,  0.1503
 71,   1526.39,  0.1492
 72,   1521.86,  0.1500
 73,   1524.71,  0.1500
 74,   1522.19,  0.1481
 75,   1518.65,  0.1497
 76,   1519.77,  0.1497
 77,   1515.40,  0.1503
 78,   1517.17,  0.1506
 79,   1513.46,  0.1506
 80,   1512.28,  0.1511
 81,   1509.50,  0.1509
 82,   1509.43,  0.1515
 83,   1506.75,  0.1498
 84,   1506.86,  0.1514
 85,   1502.94,  0.1530
 86,   1503.33,  0.1520
 87,   1499.95,  0.1534
 88,   1502.53,  0.1535
 89,   1498.60,  0.1535
 90,   1499.03,  0.1532
 91,   1499.55,  0.1532
 92,   1496.94,  0.1532
 93,   1498.55,  0.1530
 94,   1494.64,  0.1523
 95,   1495.17,  0.1532
 96,   1493.68,  0.1533
 97,   1490.23,  0.1533
 98,   1487.62,  0.1531
 99,   1487.10,  0.1531
100,   1488.80,  0.1568
101,   1486.61,  0.1569
102,   1485.03,  0.1576
103,   1481.60,  0.1567
104,   1480.46,  0.1574
105,   1480.66,  0.1605
106,   1479.61,  0.1609
107,   1480.39,  0.1609
108,   1476.83,  0.1606
109,   1475.82,  0.1606
110,   1476.27,  0.1611
111,   1477.58,  0.1611
112,   1474.65,  0.1591
113,   1470.89,  0.1572
114,   1468.78,  0.1598
115,   1472.51,  0.1582
116,   1471.65,  0.1581
117,   1468.91,  0.1579
118,   1464.95,  0.1569
119,   1466.69,  0.1561
120,   1467.66,  0.1569
121,   1465.97,  0.1569
122,   1463.23,  0.1574
123,   1463.17,  0.1565
124,   1459.62,  0.1565
125,   1463.67,  0.1557
126,   1458.18,  0.1565
127,   1461.12,  0.1536
128,   1461.58,  0.1536
129,   1457.92,  0.1536
130,   1460.64,  0.1536
131,   1457.00,  0.1547
132,   1455.00,  0.1537
133,   1456.17,  0.1540
134,   1451.56,  0.1540
135,   1453.98,  0.1540
136,   1452.78,  0.1535
137,   1452.89,  0.1536
138,   1453.29,  0.1543
139,   1450.76,  0.1536
140,   1449.56,  0.1553
141,   1450.77,  0.1553
142,   1450.99,  0.1541
143,   1442.48,  0.1521
144,   1448.36,  0.1528
145,   1445.30,  0.1533
146,   1445.45,  0.1526
147,   1441.34,  0.1535
148,   1442.63,  0.1535
149,   1441.31,  0.1529
150,   1443.34,  0.1527
151,   1440.64,  0.1527
152,   1444.74,  0.1529
153,   1437.95,  0.1532
154,   1440.90,  0.1526
155,   1434.82,  0.1505
156,   1433.59,  0.1512
157,   1439.08,  0.1502
158,   1437.10,  0.1512
159,   1433.81,  0.1515
160,   1434.44,  0.1515
161,   1432.79,  0.1512
162,   1431.54,  0.1512
163,   1432.59,  0.1499
164,   1432.50,  0.1499
165,   1431.99,  0.1500
166,   1429.64,  0.1507
167,   1433.05,  0.1518
168,   1424.91,  0.1514
169,   1429.08,  0.1514
170,   1426.82,  0.1512
171,   1428.54,  0.1517
172,   1426.29,  0.1518
173,   1426.20,  0.1518
174,   1423.90,  0.1516
175,   1426.01,  0.1516
176,   1424.10,  0.1513
177,   1422.17,  0.1511
178,   1422.71,  0.1511
179,   1419.62,  0.1513
