Epoch,PPL,NPMI
  0,   3730.34,  0.0674
  1,   3535.47,  0.1748
  2,   3327.23,  0.2160
  3,   3150.99,  0.2322
  4,   2992.86,  0.2499
  5,   2871.05,  0.2611
  6,   2777.37,  0.2658
  7,   2681.54,  0.2768
  8,   2624.21,  0.2892
  9,   2584.29,  0.2978
 10,   2518.43,  0.3021
 11,   2444.99,  0.3101
 12,   2433.55,  0.3122
 13,   2419.20,  0.3179
 14,   2373.10,  0.3219
 15,   2338.13,  0.3243
 16,   2357.50,  0.3252
 17,   2313.11,  0.3282
 18,   2275.81,  0.3283
 19,   2265.31,  0.3250
 20,   2245.95,  0.3305
 21,   2241.79,  0.3334
 22,   2222.62,  0.3364
 23,   2199.97,  0.3339
 24,   2196.53,  0.3275
 25,   2191.13,  0.3198
 26,   2185.46,  0.3175
 27,   2194.52,  0.3158
 28,   2193.78,  0.3117
 29,   2176.69,  0.3137
 30,   2165.31,  0.3094
 31,   2137.94,  0.3065
 32,   2158.19,  0.3006
 33,   2155.52,  0.2980
 34,   2123.31,  0.3006
 35,   2144.88,  0.2974
 36,   2160.63,  0.2973
 37,   2112.47,  0.2932
 38,   2134.87,  0.2902
 39,   2126.78,  0.2796
 40,   2110.94,  0.2754
 41,   2120.50,  0.2748
 42,   2103.12,  0.2706
 43,   2118.23,  0.2620
 44,   2093.26,  0.2624
 45,   2111.01,  0.2516
 46,   2108.96,  0.2436
 47,   2107.46,  0.2409
 48,   2114.36,  0.2385
 49,   2084.55,  0.2335
 50,   2065.14,  0.2339
 51,   2086.33,  0.2318
 52,   2117.61,  0.2240
 53,   2077.71,  0.2215
 54,   2078.16,  0.2208
 55,   2092.56,  0.2162
 56,   2052.28,  0.2081
 57,   2066.16,  0.2036
 58,   2058.75,  0.1998
 59,   2046.64,  0.1976
 60,   2061.76,  0.1948
 61,   2082.60,  0.1901
 62,   2063.40,  0.1923
 63,   2026.98,  0.1826
 64,   2079.67,  0.1885
 65,   2061.07,  0.1848
 66,   2053.90,  0.1795
 67,   2081.54,  0.1776
 68,   2040.22,  0.1719
 69,   2054.71,  0.1731
 70,   2072.30,  0.1721
 71,   2047.49,  0.1667
 72,   2052.03,  0.1645
 73,   2059.85,  0.1697
 74,   2047.67,  0.1650
 75,   2026.84,  0.1673
 76,   2022.86,  0.1638
 77,   2047.09,  0.1621
 78,   2050.92,  0.1608
 79,   2056.01,  0.1596
 80,   2050.93,  0.1615
 81,   2056.13,  0.1577
 82,   2059.13,  0.1572
 83,   2056.75,  0.1561
 84,   2062.78,  0.1534
 85,   2054.99,  0.1548
 86,   2064.61,  0.1494
 87,   2055.98,  0.1479
 88,   2056.40,  0.1481
 89,   2050.59,  0.1473
 90,   2072.13,  0.1453
 91,   2066.44,  0.1409
 92,   2092.32,  0.1428
 93,   2014.32,  0.1398
 94,   2058.40,  0.1364
 95,   2047.26,  0.1349
 96,   2030.08,  0.1333
 97,   2041.60,  0.1346
 98,   2059.91,  0.1342
 99,   2050.78,  0.1344
100,   2059.31,  0.1333
101,   2053.21,  0.1320
102,   2026.35,  0.1319
103,   2044.23,  0.1297
104,   2028.59,  0.1310
105,   2046.32,  0.1306
106,   2028.68,  0.1284
107,   2042.42,  0.1296
108,   2030.83,  0.1296
109,   2023.25,  0.1342
110,   2026.22,  0.1311
111,   2042.18,  0.1314
112,   2035.29,  0.1316
113,   2044.59,  0.1316
114,   2001.63,  0.1340
115,   1999.92,  0.1313
116,   2033.23,  0.1309
117,   2010.30,  0.1299
118,   2009.51,  0.1269
119,   2045.87,  0.1281
