Epoch,PPL,NPMI
  0,   3748.72,  0.0252
  1,   3714.54,  0.0587
  2,   3574.43,  0.1128
  3,   3400.10,  0.1802
  4,   3240.95,  0.2164
  5,   3101.42,  0.2283
  6,   3004.65,  0.2384
  7,   2907.39,  0.2557
  8,   2837.60,  0.2629
  9,   2766.92,  0.2635
 10,   2704.97,  0.2662
 11,   2627.67,  0.2791
 12,   2599.01,  0.2850
 13,   2553.12,  0.2928
 14,   2502.38,  0.2975
 15,   2470.05,  0.3026
 16,   2463.05,  0.3140
 17,   2422.68,  0.3135
 18,   2384.91,  0.3253
 19,   2373.63,  0.3382
 20,   2342.27,  0.3420
 21,   2322.87,  0.3406
 22,   2313.37,  0.3443
 23,   2283.18,  0.3387
 24,   2291.57,  0.3433
 25,   2247.72,  0.3449
 26,   2244.80,  0.3446
 27,   2236.74,  0.3403
 28,   2245.86,  0.3432
 29,   2217.21,  0.3363
 30,   2225.62,  0.3318
 31,   2185.00,  0.3346
 32,   2208.14,  0.3258
 33,   2197.10,  0.3269
 34,   2174.47,  0.3272
 35,   2177.93,  0.3300
 36,   2189.01,  0.3277
 37,   2162.10,  0.3252
 38,   2155.38,  0.3207
 39,   2142.23,  0.3192
 40,   2160.12,  0.3159
 41,   2149.28,  0.3119
 42,   2147.95,  0.3056
 43,   2151.53,  0.2997
 44,   2126.74,  0.2990
 45,   2133.51,  0.2898
 46,   2156.53,  0.2777
 47,   2114.86,  0.2691
 48,   2133.25,  0.2712
 49,   2111.83,  0.2672
 50,   2094.65,  0.2641
 51,   2107.69,  0.2575
 52,   2116.35,  0.2575
 53,   2098.92,  0.2568
 54,   2112.93,  0.2534
 55,   2123.47,  0.2532
 56,   2072.60,  0.2515
 57,   2073.72,  0.2495
 58,   2095.88,  0.2498
 59,   2073.47,  0.2408
 60,   2084.61,  0.2386
 61,   2095.44,  0.2405
 62,   2091.75,  0.2374
 63,   2064.43,  0.2306
 64,   2096.65,  0.2244
 65,   2083.88,  0.2267
 66,   2060.49,  0.2226
 67,   2108.92,  0.2192
 68,   2062.65,  0.2183
 69,   2070.63,  0.2170
 70,   2095.74,  0.2122
 71,   2064.21,  0.2106
 72,   2059.69,  0.2030
 73,   2080.10,  0.1987
 74,   2038.77,  0.1982
 75,   2043.88,  0.2015
 76,   2050.51,  0.1931
 77,   2051.40,  0.2006
 78,   2060.44,  0.1881
 79,   2076.36,  0.1839
 80,   2083.95,  0.1845
 81,   2075.18,  0.1850
 82,   2051.56,  0.1825
 83,   2058.52,  0.1793
 84,   2065.20,  0.1772
 85,   2067.69,  0.1777
 86,   2075.36,  0.1710
 87,   2064.01,  0.1696
 88,   2055.33,  0.1710
 89,   2082.31,  0.1709
 90,   2069.99,  0.1713
 91,   2085.36,  0.1674
 92,   2088.67,  0.1693
 93,   2037.40,  0.1640
 94,   2061.61,  0.1620
 95,   2034.66,  0.1676
 96,   2058.22,  0.1618
 97,   2040.47,  0.1604
 98,   2061.63,  0.1604
 99,   2081.31,  0.1588
100,   2048.33,  0.1590
101,   2082.38,  0.1572
102,   2047.05,  0.1630
103,   2067.19,  0.1589
104,   2031.85,  0.1547
105,   2046.61,  0.1548
106,   2049.06,  0.1585
107,   2057.15,  0.1545
108,   2047.19,  0.1532
109,   2060.60,  0.1508
110,   2059.81,  0.1500
111,   2047.27,  0.1509
112,   2056.85,  0.1454
113,   2055.76,  0.1439
114,   2015.45,  0.1429
115,   2037.92,  0.1436
116,   2053.90,  0.1406
117,   2043.83,  0.1381
118,   2026.68,  0.1402
119,   2042.65,  0.1368
