Epoch,PPL,NPMI
  0,    987.02,  0.1298
  1,    900.85,  0.1763
  2,    856.34,  0.1878
  3,    826.59,  0.1889
  4,    801.59,  0.1938
  5,    793.96,  0.1779
  6,    775.15,  0.1815
  7,    766.34,  0.1810
  8,    751.53,  0.1759
  9,    744.97,  0.1759
 10,    757.52,  0.1640
 11,    739.01,  0.1591
 12,    743.23,  0.1629
 13,    741.90,  0.1535
 14,    738.40,  0.1514
 15,    740.35,  0.1445
 16,    722.54,  0.1435
 17,    729.01,  0.1356
 18,    719.03,  0.1344
 19,    715.83,  0.1301
 20,    725.64,  0.1295
 21,    714.11,  0.1371
 22,    725.58,  0.1387
 23,    715.15,  0.1390
 24,    705.30,  0.1366
 25,    716.95,  0.1347
 26,    707.48,  0.1294
 27,    711.40,  0.1326
 28,    705.10,  0.1374
 29,    698.69,  0.1355
 30,    707.61,  0.1362
 31,    707.55,  0.1370
 32,    705.78,  0.1331
 33,    704.78,  0.1388
 34,    696.41,  0.1371
 35,    688.62,  0.1336
 36,    702.69,  0.1328
 37,    709.11,  0.1344
 38,    698.01,  0.1380
 39,    707.69,  0.1375
 40,    689.70,  0.1341
 41,    694.82,  0.1317
 42,    704.46,  0.1300
 43,    704.67,  0.1291
 44,    702.76,  0.1313
 45,    701.69,  0.1392
 46,    707.78,  0.1411
 47,    702.32,  0.1349
 48,    699.81,  0.1391
 49,    702.72,  0.1314
 50,    693.21,  0.1301
 51,    696.35,  0.1304
 52,    705.63,  0.1279
 53,    700.86,  0.1254
 54,    690.66,  0.1284
 55,    693.30,  0.1286
 56,    690.22,  0.1276
 57,    686.75,  0.1280
 58,    702.26,  0.1269
 59,    707.10,  0.1319
 60,    705.05,  0.1315
 61,    703.87,  0.1361
 62,    700.65,  0.1355
 63,    692.85,  0.1314
 64,    690.52,  0.1307
 65,    692.10,  0.1350
 66,    680.48,  0.1334
 67,    694.23,  0.1317
 68,    691.30,  0.1325
 69,    693.58,  0.1317
 70,    692.41,  0.1327
 71,    691.46,  0.1387
 72,    692.57,  0.1373
 73,    690.08,  0.1342
 74,    685.90,  0.1361
 75,    684.67,  0.1305
 76,    695.34,  0.1311
 77,    692.69,  0.1418
 78,    691.71,  0.1352
 79,    690.74,  0.1393
 80,    702.71,  0.1341
 81,    706.38,  0.1311
 82,    694.23,  0.1346
 83,    700.29,  0.1345
 84,    701.70,  0.1436
 85,    692.12,  0.1428
 86,    696.98,  0.1448
 87,    686.76,  0.1441
 88,    708.51,  0.1434
 89,    695.49,  0.1471
 90,    693.55,  0.1435
 91,    688.36,  0.1429
 92,    701.84,  0.1431
 93,    699.24,  0.1448
 94,    694.04,  0.1409
 95,    706.76,  0.1432
 96,    707.92,  0.1414
 97,    693.71,  0.1456
 98,    704.50,  0.1407
 99,    689.33,  0.1440
100,    695.99,  0.1444
101,    694.35,  0.1401
102,    692.59,  0.1402
103,    690.69,  0.1447
104,    687.08,  0.1437
105,    693.35,  0.1438
106,    698.98,  0.1420
107,    697.94,  0.1419
108,    690.33,  0.1425
109,    692.22,  0.1429
110,    685.19,  0.1402
111,    697.30,  0.1394
112,    692.67,  0.1357
113,    699.02,  0.1344
114,    682.86,  0.1341
115,    707.46,  0.1352
116,    693.91,  0.1387
117,    677.74,  0.1351
118,    698.70,  0.1376
119,    700.77,  0.1391
120,    688.62,  0.1380
121,    688.51,  0.1380
122,    694.72,  0.1370
123,    704.32,  0.1441
124,    703.88,  0.1409
125,    701.21,  0.1379
126,    700.39,  0.1360
127,    689.04,  0.1436
128,    701.13,  0.1415
129,    707.19,  0.1416
130,    695.27,  0.1437
131,    698.84,  0.1422
132,    696.65,  0.1438
133,    695.94,  0.1439
134,    685.93,  0.1405
135,    697.04,  0.1386
136,    696.48,  0.1376
137,    695.73,  0.1368
138,    696.19,  0.1335
139,    684.04,  0.1347
140,    692.13,  0.1317
141,    689.77,  0.1309
142,    687.16,  0.1302
143,    706.83,  0.1317
144,    685.16,  0.1288
145,    695.14,  0.1298
146,    694.79,  0.1341
147,    699.22,  0.1315
148,    677.14,  0.1326
149,    705.56,  0.1307
150,    682.62,  0.1303
151,    693.40,  0.1315
152,    704.21,  0.1287
153,    695.64,  0.1297
154,    685.65,  0.1250
155,    697.26,  0.1286
156,    688.23,  0.1312
157,    688.62,  0.1292
158,    677.72,  0.1334
159,    704.66,  0.1362
160,    704.68,  0.1348
161,    700.26,  0.1354
162,    696.08,  0.1327
163,    680.78,  0.1327
164,    683.84,  0.1320
165,    691.43,  0.1330
166,    700.33,  0.1316
167,    696.50,  0.1327
168,    705.42,  0.1361
169,    684.03,  0.1360
170,    699.98,  0.1339
171,    702.46,  0.1333
172,    694.27,  0.1315
173,    683.37,  0.1318
174,    694.42,  0.1295
175,    696.53,  0.1263
176,    709.84,  0.1332
177,    718.61,  0.1306
178,    684.08,  0.1346
179,    695.77,  0.1333
