Epoch,PPL,NPMI
  0,   1713.71,  0.0866
  1,   1640.39,  0.0970
  2,   1610.95,  0.1070
  3,   1595.95,  0.1063
  4,   1579.09,  0.1087
  5,   1570.43,  0.1060
  6,   1547.37,  0.1073
  7,   1558.83,  0.1077
  8,   1535.37,  0.1039
  9,   1556.27,  0.1088
 10,   1534.52,  0.1078
 11,   1533.96,  0.1068
 12,   1539.94,  0.1065
 13,   1545.74,  0.1060
 14,   1526.48,  0.1024
 15,   1549.70,  0.1030
 16,   1530.05,  0.1040
 17,   1543.10,  0.1044
 18,   1502.47,  0.1025
 19,   1530.17,  0.1029
 20,   1517.59,  0.1051
 21,   1525.95,  0.1070
 22,   1542.55,  0.1019
 23,   1528.73,  0.1038
 24,   1530.77,  0.0950
 25,   1526.71,  0.0986
 26,   1530.09,  0.0961
 27,   1528.62,  0.0948
 28,   1529.69,  0.0952
 29,   1527.42,  0.0970
 30,   1522.69,  0.0962
 31,   1542.16,  0.0916
 32,   1510.50,  0.0915
 33,   1526.95,  0.0935
 34,   1533.35,  0.0959
 35,   1547.13,  0.0947
 36,   1538.11,  0.0975
 37,   1532.14,  0.0940
 38,   1541.16,  0.0912
 39,   1523.28,  0.0913
 40,   1531.99,  0.0925
 41,   1523.06,  0.0925
 42,   1540.18,  0.0919
 43,   1534.35,  0.0949
 44,   1538.08,  0.0935
 45,   1529.96,  0.0953
 46,   1524.15,  0.0944
 47,   1539.09,  0.0932
 48,   1526.50,  0.0925
 49,   1515.35,  0.0929
 50,   1540.69,  0.0912
 51,   1505.86,  0.0947
 52,   1531.39,  0.0967
 53,   1516.37,  0.0962
 54,   1518.29,  0.0908
 55,   1516.74,  0.0909
 56,   1539.29,  0.0922
 57,   1521.70,  0.0941
 58,   1528.85,  0.0943
 59,   1530.69,  0.0928
 60,   1529.65,  0.0955
 61,   1532.32,  0.0938
 62,   1525.01,  0.0944
 63,   1521.17,  0.0964
 64,   1542.60,  0.0938
 65,   1527.18,  0.0938
 66,   1544.81,  0.0937
 67,   1518.87,  0.0921
 68,   1539.92,  0.0910
 69,   1508.11,  0.0934
 70,   1529.85,  0.0903
 71,   1520.60,  0.0932
 72,   1530.96,  0.0907
 73,   1550.09,  0.0864
 74,   1514.12,  0.0886
 75,   1532.24,  0.0871
 76,   1542.75,  0.0853
 77,   1532.70,  0.0842
 78,   1533.01,  0.0859
 79,   1530.56,  0.0901
 80,   1527.63,  0.0894
 81,   1538.69,  0.0886
 82,   1517.01,  0.0918
 83,   1542.60,  0.0887
 84,   1533.28,  0.0874
 85,   1523.42,  0.0911
 86,   1525.45,  0.0925
 87,   1529.91,  0.0914
 88,   1524.07,  0.0904
 89,   1510.83,  0.0895
 90,   1516.62,  0.0874
 91,   1515.19,  0.0852
 92,   1517.29,  0.0851
 93,   1512.99,  0.0863
 94,   1539.67,  0.0892
 95,   1518.46,  0.0856
 96,   1543.64,  0.0854
 97,   1510.77,  0.0892
 98,   1536.44,  0.0859
 99,   1513.67,  0.0868
100,   1517.26,  0.0857
101,   1529.17,  0.0852
102,   1541.88,  0.0849
103,   1512.49,  0.0832
104,   1525.51,  0.0822
105,   1515.96,  0.0897
106,   1512.56,  0.0873
107,   1511.45,  0.0870
108,   1532.58,  0.0880
109,   1529.68,  0.0893
110,   1525.14,  0.0865
111,   1532.38,  0.0845
112,   1547.96,  0.0849
113,   1546.19,  0.0867
114,   1540.57,  0.0839
115,   1543.65,  0.0843
116,   1542.69,  0.0861
117,   1523.91,  0.0848
118,   1542.60,  0.0856
119,   1544.35,  0.0822
120,   1535.14,  0.0832
121,   1550.67,  0.0821
122,   1525.50,  0.0781
123,   1524.38,  0.0821
124,   1508.53,  0.0814
125,   1537.53,  0.0796
126,   1523.50,  0.0849
127,   1538.27,  0.0817
128,   1530.09,  0.0837
129,   1524.81,  0.0855
130,   1523.68,  0.0810
131,   1535.20,  0.0822
132,   1529.79,  0.0841
133,   1517.97,  0.0859
134,   1521.77,  0.0864
135,   1514.36,  0.0874
136,   1536.58,  0.0849
137,   1526.52,  0.0889
138,   1530.01,  0.0863
139,   1544.77,  0.0879
140,   1535.77,  0.0848
141,   1536.91,  0.0833
142,   1533.08,  0.0835
143,   1523.69,  0.0825
144,   1516.53,  0.0820
145,   1526.72,  0.0835
146,   1518.32,  0.0819
147,   1552.63,  0.0831
148,   1536.81,  0.0817
149,   1534.02,  0.0855
150,   1541.34,  0.0834
151,   1524.00,  0.0829
152,   1532.43,  0.0814
153,   1516.76,  0.0824
154,   1546.04,  0.0810
155,   1525.06,  0.0805
156,   1537.52,  0.0812
157,   1521.51,  0.0822
158,   1526.94,  0.0832
159,   1513.38,  0.0844
160,   1556.98,  0.0850
161,   1547.60,  0.0874
162,   1543.66,  0.0839
163,   1537.27,  0.0842
164,   1538.92,  0.0839
165,   1542.72,  0.0810
166,   1508.48,  0.0831
167,   1530.12,  0.0835
168,   1568.66,  0.0816
169,   1517.06,  0.0835
170,   1535.36,  0.0828
171,   1520.40,  0.0843
172,   1557.96,  0.0869
173,   1554.36,  0.0869
174,   1542.02,  0.0860
175,   1554.54,  0.0889
176,   1555.67,  0.0893
177,   1528.03,  0.0880
178,   1531.73,  0.0800
179,   1537.51,  0.0808
