Epoch,PPL,NPMI
  0,   2314.97,  0.1728
  1,   2097.44,  0.1608
  2,   2024.66,  0.1366
  3,   1986.72,  0.1112
  4,   1962.37,  0.0924
  5,   1942.59,  0.0845
  6,   1925.56,  0.0758
  7,   1904.26,  0.0710
  8,   1918.23,  0.0774
  9,   1921.75,  0.0766
 10,   1920.61,  0.0774
 11,   1894.88,  0.0769
 12,   1921.88,  0.0640
 13,   1906.81,  0.0720
 14,   1897.20,  0.0613
 15,   1910.47,  0.0606
 16,   1935.58,  0.0649
 17,   1928.52,  0.0608
 18,   1910.84,  0.0600
 19,   1889.78,  0.0560
 20,   1858.75,  0.0589
 21,   1902.17,  0.0627
 22,   1920.86,  0.0580
 23,   1886.25,  0.0660
 24,   1904.99,  0.0623
 25,   1908.12,  0.0604
 26,   1899.48,  0.0602
 27,   1908.25,  0.0517
 28,   1974.90,  0.0566
 29,   1902.05,  0.0499
 30,   1892.09,  0.0578
 31,   1876.13,  0.0602
 32,   1930.60,  0.0517
 33,   1923.99,  0.0575
 34,   1905.32,  0.0626
 35,   1931.88,  0.0524
 36,   1948.25,  0.0519
 37,   1872.26,  0.0475
 38,   1912.38,  0.0557
 39,   1899.74,  0.0480
 40,   1903.78,  0.0487
 41,   1915.19,  0.0431
 42,   1901.43,  0.0448
 43,   1905.91,  0.0389
 44,   1901.19,  0.0499
 45,   1905.75,  0.0445
 46,   1940.28,  0.0419
 47,   1933.13,  0.0382
 48,   1923.90,  0.0411
 49,   1904.48,  0.0367
 50,   1917.81,  0.0389
 51,   1943.51,  0.0433
 52,   1921.78,  0.0511
 53,   1934.26,  0.0527
 54,   1925.35,  0.0555
 55,   1921.23,  0.0558
 56,   1914.57,  0.0557
 57,   1906.50,  0.0489
 58,   1933.41,  0.0482
 59,   1890.61,  0.0460
 60,   1915.02,  0.0456
 61,   1903.53,  0.0401
 62,   1889.86,  0.0499
 63,   1893.51,  0.0455
 64,   1919.75,  0.0450
 65,   1884.20,  0.0459
 66,   1926.39,  0.0414
 67,   1935.89,  0.0363
 68,   1890.57,  0.0366
 69,   1861.27,  0.0367
 70,   1930.69,  0.0347
 71,   1894.90,  0.0420
 72,   1916.10,  0.0446
 73,   1900.83,  0.0443
 74,   1899.92,  0.0490
 75,   1874.64,  0.0447
 76,   1898.72,  0.0381
 77,   1911.75,  0.0412
 78,   1905.50,  0.0369
 79,   1953.80,  0.0401
 80,   1900.66,  0.0389
 81,   1924.86,  0.0390
 82,   1875.77,  0.0409
 83,   1900.08,  0.0367
 84,   1931.08,  0.0458
 85,   1900.66,  0.0436
 86,   1890.55,  0.0441
 87,   1909.92,  0.0479
 88,   1915.33,  0.0475
 89,   1910.94,  0.0384
 90,   1923.41,  0.0391
 91,   1916.70,  0.0405
 92,   1936.45,  0.0429
 93,   1879.36,  0.0386
 94,   1943.78,  0.0387
 95,   1917.37,  0.0375
 96,   1922.43,  0.0401
 97,   1930.42,  0.0455
 98,   1893.12,  0.0437
 99,   1919.52,  0.0419
100,   1914.28,  0.0391
101,   1910.50,  0.0425
102,   1896.22,  0.0431
103,   1902.06,  0.0469
104,   1903.05,  0.0391
105,   1909.00,  0.0371
106,   1912.41,  0.0387
107,   1918.55,  0.0453
108,   1910.69,  0.0419
109,   1928.12,  0.0397
110,   1887.82,  0.0377
111,   1924.75,  0.0408
112,   1922.57,  0.0438
113,   1916.53,  0.0375
114,   1874.20,  0.0393
115,   1901.40,  0.0410
116,   1898.69,  0.0418
117,   1900.19,  0.0395
118,   1862.65,  0.0384
119,   1900.97,  0.0357
