Epoch,PPL,NPMI
  0,    770.77,  0.2616
  1,    734.66,  0.2600
  2,    726.12,  0.2443
  3,    713.77,  0.2132
  4,    701.01,  0.2078
  5,    712.39,  0.1932
  6,    715.41,  0.1914
  7,    713.27,  0.2065
  8,    721.60,  0.2002
  9,    705.90,  0.2058
 10,    712.94,  0.2093
 11,    710.66,  0.2068
 12,    703.99,  0.2127
 13,    707.49,  0.2146
 14,    698.35,  0.2129
 15,    702.55,  0.2054
 16,    708.30,  0.2138
 17,    709.36,  0.2154
 18,    711.83,  0.2088
 19,    695.82,  0.2233
 20,    701.66,  0.2101
 21,    704.23,  0.1974
 22,    700.33,  0.2067
 23,    700.59,  0.1987
 24,    705.63,  0.2050
 25,    699.90,  0.2071
 26,    699.24,  0.1979
 27,    696.53,  0.2198
 28,    697.40,  0.1923
 29,    702.45,  0.1950
 30,    703.81,  0.1960
 31,    700.75,  0.2082
 32,    699.07,  0.2059
 33,    711.20,  0.1968
 34,    698.68,  0.1909
 35,    712.43,  0.1939
 36,    692.52,  0.1978
 37,    702.40,  0.1951
 38,    706.68,  0.1981
 39,    700.47,  0.1976
 40,    699.64,  0.1967
 41,    705.67,  0.2033
 42,    697.80,  0.2083
 43,    697.76,  0.2162
 44,    700.00,  0.2122
 45,    695.67,  0.1999
 46,    704.11,  0.2069
 47,    704.91,  0.1983
 48,    692.81,  0.2016
 49,    695.44,  0.1922
 50,    700.91,  0.2138
 51,    701.99,  0.1992
 52,    698.51,  0.1925
 53,    705.47,  0.1950
 54,    705.41,  0.1902
 55,    701.32,  0.1984
 56,    709.23,  0.2024
 57,    699.82,  0.1934
 58,    710.33,  0.1891
 59,    705.64,  0.1965
 60,    702.21,  0.1880
 61,    709.73,  0.1909
 62,    712.63,  0.1942
 63,    702.83,  0.1874
 64,    696.59,  0.1788
 65,    695.82,  0.1901
 66,    707.14,  0.1895
 67,    698.49,  0.1700
 68,    702.17,  0.1826
 69,    707.21,  0.1783
 70,    698.01,  0.1910
 71,    690.97,  0.1827
 72,    704.76,  0.1990
 73,    697.94,  0.1649
 74,    700.27,  0.1665
 75,    707.86,  0.1660
 76,    701.08,  0.1657
 77,    703.04,  0.1792
 78,    707.94,  0.1752
 79,    695.57,  0.1703
 80,    705.93,  0.1666
 81,    709.40,  0.1662
 82,    703.27,  0.1816
 83,    699.41,  0.1900
 84,    705.06,  0.1849
 85,    703.28,  0.1644
 86,    695.90,  0.1697
 87,    699.31,  0.1802
 88,    698.77,  0.1944
 89,    698.28,  0.1871
 90,    694.45,  0.1928
 91,    703.36,  0.1919
 92,    699.28,  0.1875
 93,    705.21,  0.1918
 94,    700.71,  0.1873
 95,    709.73,  0.1875
 96,    696.10,  0.1833
 97,    700.06,  0.1792
 98,    695.58,  0.1830
 99,    694.49,  0.1768
100,    706.22,  0.1707
101,    692.33,  0.1809
102,    702.84,  0.1777
103,    709.16,  0.1905
104,    696.17,  0.1818
105,    701.15,  0.1799
106,    699.52,  0.1873
107,    698.07,  0.1867
108,    703.82,  0.1827
109,    699.94,  0.1912
110,    693.40,  0.1880
111,    694.38,  0.1821
112,    697.45,  0.1877
113,    702.18,  0.1872
114,    698.03,  0.1988
115,    699.88,  0.1865
116,    696.04,  0.1896
117,    700.94,  0.1867
118,    701.85,  0.1892
119,    703.11,  0.1814
