Epoch,PPL,NPMI
  0,   1881.59,  0.0690
  1,   1854.81,  0.0841
  2,   1832.11,  0.0936
  3,   1811.02,  0.0986
  4,   1789.05,  0.1041
  5,   1774.66,  0.1066
  6,   1761.49,  0.1075
  7,   1747.67,  0.1137
  8,   1734.04,  0.1156
  9,   1722.53,  0.1220
 10,   1715.83,  0.1253
 11,   1703.34,  0.1258
 12,   1694.06,  0.1258
 13,   1688.02,  0.1269
 14,   1681.28,  0.1291
 15,   1676.28,  0.1312
 16,   1671.11,  0.1322
 17,   1665.71,  0.1342
 18,   1661.16,  0.1351
 19,   1655.39,  0.1368
 20,   1651.31,  0.1367
 21,   1644.75,  0.1378
 22,   1639.89,  0.1379
 23,   1636.69,  0.1395
 24,   1637.00,  0.1407
 25,   1630.41,  0.1438
 26,   1630.91,  0.1451
 27,   1622.65,  0.1493
 28,   1621.39,  0.1503
 29,   1616.92,  0.1516
 30,   1615.42,  0.1534
 31,   1608.08,  0.1535
 32,   1608.09,  0.1533
 33,   1607.66,  0.1564
 34,   1602.23,  0.1560
 35,   1599.55,  0.1564
 36,   1598.49,  0.1568
 37,   1596.04,  0.1567
 38,   1591.20,  0.1576
 39,   1589.61,  0.1571
 40,   1583.99,  0.1595
 41,   1586.08,  0.1603
 42,   1585.64,  0.1622
 43,   1582.16,  0.1626
 44,   1578.03,  0.1623
 45,   1578.92,  0.1621
 46,   1573.48,  0.1621
 47,   1576.15,  0.1629
 48,   1573.33,  0.1622
 49,   1569.38,  0.1627
 50,   1566.47,  0.1627
 51,   1565.94,  0.1620
 52,   1565.12,  0.1623
 53,   1562.49,  0.1623
 54,   1561.17,  0.1624
 55,   1560.42,  0.1629
 56,   1555.91,  0.1629
 57,   1559.11,  0.1629
 58,   1554.12,  0.1641
 59,   1552.58,  0.1629
 60,   1554.76,  0.1627
 61,   1549.03,  0.1633
 62,   1548.32,  0.1626
 63,   1547.98,  0.1627
 64,   1546.95,  0.1614
 65,   1544.08,  0.1612
 66,   1542.94,  0.1614
 67,   1540.47,  0.1608
 68,   1538.89,  0.1596
 69,   1540.73,  0.1600
 70,   1536.41,  0.1605
 71,   1535.95,  0.1601
 72,   1533.72,  0.1605
 73,   1534.03,  0.1602
 74,   1531.92,  0.1610
 75,   1530.02,  0.1612
 76,   1530.77,  0.1612
 77,   1527.76,  0.1614
 78,   1528.69,  0.1600
 79,   1526.36,  0.1602
 80,   1524.80,  0.1616
 81,   1522.67,  0.1616
 82,   1520.06,  0.1615
 83,   1517.27,  0.1610
 84,   1519.83,  0.1610
 85,   1515.49,  0.1615
 86,   1517.80,  0.1619
 87,   1513.15,  0.1615
 88,   1515.84,  0.1612
 89,   1512.62,  0.1614
 90,   1512.95,  0.1608
 91,   1514.65,  0.1605
 92,   1510.05,  0.1615
 93,   1512.45,  0.1605
 94,   1508.15,  0.1613
 95,   1507.73,  0.1613
 96,   1507.94,  0.1609
 97,   1504.08,  0.1617
 98,   1502.84,  0.1617
 99,   1501.89,  0.1617
100,   1502.51,  0.1617
101,   1501.51,  0.1609
102,   1498.91,  0.1609
103,   1497.19,  0.1602
104,   1497.88,  0.1601
105,   1496.53,  0.1605
106,   1495.19,  0.1602
107,   1496.99,  0.1611
108,   1493.90,  0.1619
109,   1492.93,  0.1621
110,   1492.23,  0.1619
111,   1492.92,  0.1628
112,   1489.45,  0.1625
113,   1487.67,  0.1640
114,   1485.62,  0.1640
115,   1490.22,  0.1645
116,   1488.10,  0.1643
117,   1486.95,  0.1647
118,   1482.40,  0.1653
119,   1484.94,  0.1659
120,   1485.42,  0.1652
121,   1484.73,  0.1663
122,   1481.04,  0.1658
123,   1481.00,  0.1648
124,   1478.26,  0.1651
125,   1480.29,  0.1651
126,   1476.52,  0.1650
127,   1478.07,  0.1650
128,   1478.87,  0.1650
129,   1477.11,  0.1647
130,   1475.81,  0.1647
131,   1475.95,  0.1650
132,   1475.08,  0.1649
133,   1474.14,  0.1642
134,   1471.24,  0.1650
135,   1471.40,  0.1642
136,   1471.86,  0.1642
137,   1473.19,  0.1642
138,   1473.11,  0.1635
139,   1468.77,  0.1635
140,   1465.48,  0.1627
141,   1471.09,  0.1627
142,   1470.86,  0.1609
143,   1464.90,  0.1609
144,   1466.38,  0.1618
145,   1466.29,  0.1622
146,   1465.65,  0.1620
147,   1460.82,  0.1620
148,   1461.24,  0.1620
149,   1461.02,  0.1613
150,   1464.68,  0.1618
151,   1460.22,  0.1596
152,   1463.39,  0.1594
153,   1458.91,  0.1596
154,   1461.32,  0.1596
155,   1454.02,  0.1596
156,   1453.88,  0.1596
157,   1458.55,  0.1593
158,   1458.06,  0.1593
159,   1454.34,  0.1583
160,   1454.08,  0.1599
161,   1454.16,  0.1588
162,   1453.14,  0.1589
163,   1453.07,  0.1584
164,   1453.07,  0.1598
165,   1450.06,  0.1594
166,   1450.60,  0.1583
167,   1449.94,  0.1578
168,   1445.02,  0.1592
169,   1449.63,  0.1583
170,   1447.79,  0.1594
171,   1447.54,  0.1590
172,   1447.75,  0.1586
173,   1447.32,  0.1579
174,   1445.36,  0.1583
175,   1447.63,  0.1587
176,   1447.15,  0.1581
177,   1443.34,  0.1581
178,   1443.89,  0.1593
179,   1442.74,  0.1594
