Epoch,PPL,NPMI
  0,    943.80,  0.1379
  1,    874.36,  0.1672
  2,    831.32,  0.1730
  3,    808.07,  0.1737
  4,    787.84,  0.1801
  5,    779.89,  0.1763
  6,    764.76,  0.1759
  7,    758.63,  0.1759
  8,    747.19,  0.1738
  9,    742.39,  0.1781
 10,    755.27,  0.1799
 11,    739.48,  0.1700
 12,    742.77,  0.1688
 13,    739.92,  0.1672
 14,    740.38,  0.1695
 15,    740.61,  0.1625
 16,    722.26,  0.1661
 17,    728.48,  0.1668
 18,    728.71,  0.1685
 19,    723.30,  0.1684
 20,    728.03,  0.1651
 21,    719.92,  0.1674
 22,    725.95,  0.1616
 23,    718.15,  0.1613
 24,    712.67,  0.1640
 25,    723.03,  0.1622
 26,    709.17,  0.1588
 27,    724.70,  0.1569
 28,    715.09,  0.1603
 29,    705.45,  0.1579
 30,    709.97,  0.1565
 31,    712.98,  0.1560
 32,    712.91,  0.1602
 33,    708.77,  0.1603
 34,    706.13,  0.1610
 35,    697.18,  0.1616
 36,    710.71,  0.1547
 37,    715.58,  0.1475
 38,    709.21,  0.1518
 39,    712.14,  0.1479
 40,    702.98,  0.1472
 41,    700.39,  0.1549
 42,    710.10,  0.1490
 43,    706.84,  0.1487
 44,    713.34,  0.1493
 45,    708.46,  0.1478
 46,    712.76,  0.1468
 47,    707.61,  0.1518
 48,    709.07,  0.1499
 49,    711.78,  0.1573
 50,    703.79,  0.1563
 51,    705.46,  0.1519
 52,    714.98,  0.1530
 53,    708.94,  0.1505
 54,    699.71,  0.1534
 55,    705.69,  0.1504
 56,    703.28,  0.1508
 57,    698.69,  0.1486
 58,    711.29,  0.1475
 59,    722.17,  0.1487
 60,    713.68,  0.1494
 61,    709.57,  0.1455
 62,    713.89,  0.1481
 63,    702.84,  0.1486
 64,    703.49,  0.1474
 65,    705.70,  0.1487
 66,    696.82,  0.1494
 67,    697.35,  0.1490
 68,    705.65,  0.1514
 69,    702.60,  0.1486
 70,    702.94,  0.1507
 71,    696.31,  0.1506
 72,    702.31,  0.1535
 73,    697.40,  0.1534
 74,    697.50,  0.1484
 75,    695.55,  0.1526
 76,    703.78,  0.1484
 77,    700.15,  0.1543
 78,    703.02,  0.1523
 79,    702.65,  0.1486
 80,    706.56,  0.1498
 81,    712.67,  0.1506
 82,    704.92,  0.1516
 83,    710.17,  0.1553
 84,    706.94,  0.1508
 85,    703.63,  0.1486
 86,    704.69,  0.1500
 87,    700.88,  0.1495
 88,    717.88,  0.1508
 89,    702.89,  0.1482
 90,    703.26,  0.1454
 91,    699.95,  0.1478
 92,    707.44,  0.1491
 93,    708.61,  0.1456
 94,    703.80,  0.1508
 95,    709.36,  0.1437
 96,    709.83,  0.1459
 97,    705.16,  0.1452
 98,    715.25,  0.1421
 99,    695.10,  0.1419
100,    710.33,  0.1492
101,    701.92,  0.1476
102,    695.47,  0.1430
103,    704.74,  0.1450
104,    699.49,  0.1401
105,    702.25,  0.1415
106,    710.27,  0.1420
107,    706.97,  0.1436
108,    698.70,  0.1443
109,    705.78,  0.1483
110,    690.35,  0.1471
111,    708.68,  0.1477
112,    700.89,  0.1489
113,    705.78,  0.1474
114,    688.41,  0.1526
115,    712.57,  0.1564
116,    704.05,  0.1524
117,    688.46,  0.1522
118,    710.76,  0.1525
119,    710.08,  0.1518
120,    698.01,  0.1510
121,    697.07,  0.1507
122,    702.40,  0.1530
123,    709.26,  0.1474
124,    706.49,  0.1456
125,    712.56,  0.1456
126,    708.73,  0.1492
127,    700.11,  0.1485
128,    707.45,  0.1453
129,    718.32,  0.1502
130,    700.76,  0.1505
131,    703.32,  0.1551
132,    709.60,  0.1514
133,    700.77,  0.1504
134,    694.62,  0.1472
135,    707.59,  0.1509
136,    707.32,  0.1481
137,    703.82,  0.1460
138,    706.86,  0.1436
139,    689.51,  0.1457
140,    702.35,  0.1435
141,    695.17,  0.1467
142,    703.20,  0.1509
143,    706.44,  0.1483
144,    697.25,  0.1482
145,    707.31,  0.1470
146,    700.93,  0.1455
147,    703.67,  0.1513
148,    686.87,  0.1518
149,    711.87,  0.1507
150,    696.00,  0.1510
151,    695.84,  0.1485
152,    713.36,  0.1518
153,    703.57,  0.1538
154,    698.55,  0.1570
155,    703.25,  0.1604
156,    690.99,  0.1551
157,    698.96,  0.1598
158,    687.96,  0.1561
159,    709.21,  0.1534
160,    712.22,  0.1545
161,    704.80,  0.1482
162,    710.24,  0.1509
163,    689.25,  0.1478
164,    691.28,  0.1505
165,    698.67,  0.1538
166,    710.16,  0.1484
167,    704.00,  0.1460
168,    707.92,  0.1498
169,    694.49,  0.1458
170,    713.75,  0.1480
171,    706.70,  0.1506
172,    698.13,  0.1521
173,    701.05,  0.1521
174,    702.06,  0.1480
175,    701.51,  0.1454
176,    716.83,  0.1452
177,    726.84,  0.1441
178,    693.03,  0.1450
179,    704.87,  0.1467
