Epoch,PPL,NPMI
  0,   2793.01,  0.1788
  1,   2602.79,  0.1766
  2,   2568.26,  0.1416
  3,   2494.04,  0.1208
  4,   2432.30,  0.0955
  5,   2430.42,  0.0756
  6,   2385.03,  0.0592
  7,   2373.50,  0.0663
  8,   2414.75,  0.0600
  9,   2378.67,  0.0607
 10,   2385.15,  0.0597
 11,   2358.35,  0.0482
 12,   2372.34,  0.0519
 13,   2382.21,  0.0431
 14,   2392.70,  0.0443
 15,   2366.37,  0.0479
 16,   2386.56,  0.0437
 17,   2361.15,  0.0457
 18,   2367.92,  0.0388
 19,   2335.48,  0.0382
 20,   2325.42,  0.0353
 21,   2370.40,  0.0341
 22,   2369.05,  0.0356
 23,   2332.56,  0.0354
 24,   2357.59,  0.0343
 25,   2313.75,  0.0329
 26,   2336.54,  0.0215
 27,   2331.85,  0.0273
 28,   2376.44,  0.0271
 29,   2329.05,  0.0262
 30,   2343.87,  0.0285
 31,   2305.29,  0.0234
 32,   2309.19,  0.0246
 33,   2330.30,  0.0300
 34,   2339.66,  0.0242
 35,   2357.87,  0.0240
 36,   2369.45,  0.0252
 37,   2309.22,  0.0260
 38,   2341.01,  0.0296
 39,   2317.82,  0.0317
 40,   2344.20,  0.0334
 41,   2299.23,  0.0286
 42,   2328.67,  0.0324
 43,   2315.87,  0.0298
 44,   2314.79,  0.0350
 45,   2318.51,  0.0335
 46,   2376.17,  0.0280
 47,   2321.85,  0.0314
 48,   2334.36,  0.0317
 49,   2310.59,  0.0298
 50,   2338.34,  0.0305
 51,   2381.46,  0.0269
 52,   2344.02,  0.0281
 53,   2316.20,  0.0245
 54,   2354.50,  0.0252
 55,   2342.51,  0.0245
 56,   2315.86,  0.0246
 57,   2320.06,  0.0307
 58,   2355.31,  0.0327
 59,   2300.67,  0.0274
 60,   2316.82,  0.0281
 61,   2316.16,  0.0311
 62,   2341.33,  0.0290
 63,   2322.21,  0.0310
 64,   2357.58,  0.0303
 65,   2293.08,  0.0332
 66,   2318.29,  0.0312
 67,   2352.62,  0.0295
 68,   2275.92,  0.0261
 69,   2301.51,  0.0244
 70,   2326.33,  0.0305
 71,   2314.43,  0.0273
 72,   2329.66,  0.0275
 73,   2315.36,  0.0300
 74,   2300.89,  0.0275
 75,   2292.44,  0.0323
 76,   2293.41,  0.0385
 77,   2316.55,  0.0338
 78,   2312.75,  0.0333
 79,   2350.25,  0.0315
 80,   2309.21,  0.0312
 81,   2314.65,  0.0247
 82,   2309.83,  0.0284
 83,   2314.41,  0.0307
 84,   2342.39,  0.0329
 85,   2315.97,  0.0357
 86,   2316.75,  0.0321
 87,   2327.99,  0.0313
 88,   2323.94,  0.0240
 89,   2346.23,  0.0240
 90,   2283.21,  0.0219
 91,   2353.45,  0.0248
 92,   2345.27,  0.0230
 93,   2269.16,  0.0262
 94,   2346.68,  0.0252
 95,   2294.04,  0.0240
 96,   2304.25,  0.0215
 97,   2334.22,  0.0275
 98,   2365.02,  0.0409
 99,   2355.98,  0.0331
100,   2306.33,  0.0306
101,   2321.39,  0.0367
102,   2332.90,  0.0341
103,   2311.94,  0.0314
104,   2336.86,  0.0275
105,   2335.29,  0.0283
106,   2316.36,  0.0280
107,   2312.45,  0.0354
108,   2321.07,  0.0225
109,   2345.43,  0.0296
110,   2295.85,  0.0250
111,   2333.97,  0.0273
112,   2327.02,  0.0300
113,   2345.51,  0.0308
114,   2291.40,  0.0264
115,   2297.55,  0.0321
116,   2311.79,  0.0305
117,   2307.85,  0.0340
118,   2293.72,  0.0331
119,   2332.78,  0.0366
