Epoch,PPL,NPMI
  0,   1006.62,  0.1953
  1,    971.57,  0.3242
  2,    934.19,  0.3675
  3,    905.92,  0.3804
  4,    881.11,  0.3925
  5,    867.56,  0.3877
  6,    854.61,  0.3965
  7,    842.08,  0.4037
  8,    830.60,  0.4190
  9,    822.12,  0.4301
 10,    818.46,  0.4389
 11,    807.29,  0.4347
 12,    799.01,  0.4358
 13,    793.52,  0.4406
 14,    785.13,  0.4405
 15,    780.52,  0.4369
 16,    776.07,  0.4345
 17,    775.21,  0.4224
 18,    768.69,  0.4187
 19,    762.01,  0.4161
 20,    762.84,  0.4153
 21,    760.27,  0.4142
 22,    751.92,  0.4150
 23,    749.67,  0.4121
 24,    750.94,  0.4148
 25,    746.72,  0.4193
 26,    741.29,  0.4147
 27,    741.87,  0.4132
 28,    741.86,  0.4176
 29,    736.50,  0.4161
 30,    735.29,  0.4188
 31,    737.79,  0.4159
 32,    733.39,  0.4178
 33,    738.39,  0.4173
 34,    732.90,  0.4163
 35,    735.41,  0.4235
 36,    725.59,  0.4224
 37,    729.95,  0.4224
 38,    734.47,  0.4179
 39,    726.13,  0.4221
 40,    728.38,  0.4178
 41,    727.91,  0.4197
 42,    722.17,  0.4169
 43,    719.92,  0.4207
 44,    719.32,  0.4218
 45,    719.02,  0.4197
 46,    723.04,  0.4214
 47,    721.02,  0.4251
 48,    714.83,  0.4301
 49,    713.76,  0.4324
 50,    720.77,  0.4323
 51,    717.03,  0.4399
 52,    717.59,  0.4384
 53,    726.42,  0.4362
 54,    718.68,  0.4376
 55,    717.30,  0.4347
 56,    720.09,  0.4365
 57,    715.08,  0.4434
 58,    720.31,  0.4425
 59,    716.94,  0.4477
 60,    718.08,  0.4458
 61,    716.37,  0.4456
 62,    719.54,  0.4433
 63,    714.76,  0.4431
 64,    710.27,  0.4439
 65,    710.78,  0.4419
 66,    711.78,  0.4432
 67,    712.96,  0.4451
 68,    711.13,  0.4407
 69,    719.24,  0.4424
 70,    710.11,  0.4368
 71,    706.09,  0.4369
 72,    713.31,  0.4381
 73,    708.87,  0.4377
 74,    710.87,  0.4394
 75,    710.83,  0.4410
 76,    710.49,  0.4394
 77,    711.12,  0.4447
 78,    715.73,  0.4421
 79,    708.57,  0.4469
 80,    711.13,  0.4473
 81,    710.15,  0.4476
 82,    708.95,  0.4468
 83,    707.29,  0.4481
 84,    711.41,  0.4529
 85,    707.18,  0.4491
 86,    707.43,  0.4462
 87,    704.23,  0.4437
 88,    710.04,  0.4448
 89,    707.06,  0.4489
 90,    701.89,  0.4505
 91,    708.77,  0.4454
 92,    703.23,  0.4475
 93,    710.72,  0.4467
 94,    704.34,  0.4463
 95,    710.17,  0.4476
 96,    702.43,  0.4476
 97,    704.78,  0.4468
 98,    704.48,  0.4476
 99,    703.55,  0.4469
100,    707.84,  0.4380
101,    707.50,  0.4382
102,    712.45,  0.4352
103,    707.44,  0.4323
104,    707.14,  0.4303
105,    702.57,  0.4317
106,    707.53,  0.4305
107,    704.92,  0.4316
108,    707.58,  0.4287
109,    704.34,  0.4276
110,    701.41,  0.4276
111,    702.34,  0.4269
112,    703.08,  0.4267
113,    708.57,  0.4269
114,    703.23,  0.4277
115,    702.53,  0.4299
116,    704.63,  0.4270
117,    705.95,  0.4286
118,    703.59,  0.4300
119,    708.40,  0.4297
