Epoch,PPL,NPMI
  0,    789.93,  0.2658
  1,    758.39,  0.2672
  2,    747.22,  0.2783
  3,    738.59,  0.2900
  4,    730.23,  0.2655
  5,    734.53,  0.2530
  6,    735.95,  0.2503
  7,    734.93,  0.2528
  8,    739.64,  0.2276
  9,    725.28,  0.2246
 10,    737.44,  0.2151
 11,    734.60,  0.2148
 12,    725.04,  0.2049
 13,    725.99,  0.2056
 14,    721.23,  0.2071
 15,    723.37,  0.2129
 16,    727.76,  0.2000
 17,    725.43,  0.1899
 18,    732.50,  0.1932
 19,    717.29,  0.2108
 20,    724.34,  0.1967
 21,    726.23,  0.1930
 22,    719.30,  0.1850
 23,    716.09,  0.1875
 24,    721.12,  0.1914
 25,    720.78,  0.1752
 26,    719.95,  0.1876
 27,    716.31,  0.1850
 28,    717.46,  0.1767
 29,    719.80,  0.1814
 30,    716.74,  0.1873
 31,    721.86,  0.1805
 32,    715.94,  0.1788
 33,    729.61,  0.1791
 34,    720.44,  0.1828
 35,    734.78,  0.1806
 36,    714.25,  0.1813
 37,    723.27,  0.1721
 38,    726.50,  0.1848
 39,    724.68,  0.1726
 40,    715.23,  0.1673
 41,    722.27,  0.1719
 42,    717.62,  0.1825
 43,    715.90,  0.1684
 44,    718.64,  0.1648
 45,    710.65,  0.1746
 46,    724.18,  0.1749
 47,    723.05,  0.1644
 48,    709.66,  0.1603
 49,    712.61,  0.1630
 50,    720.13,  0.1630
 51,    722.20,  0.1694
 52,    718.98,  0.1694
 53,    724.54,  0.1651
 54,    725.22,  0.1626
 55,    719.88,  0.1626
 56,    728.28,  0.1704
 57,    715.91,  0.1691
 58,    730.54,  0.1526
 59,    721.94,  0.1547
 60,    718.57,  0.1587
 61,    729.70,  0.1520
 62,    731.02,  0.1639
 63,    722.31,  0.1592
 64,    714.10,  0.1592
 65,    714.84,  0.1571
 66,    721.85,  0.1642
 67,    716.69,  0.1591
 68,    721.45,  0.1599
 69,    726.64,  0.1645
 70,    713.11,  0.1644
 71,    712.93,  0.1658
 72,    722.66,  0.1690
 73,    718.24,  0.1648
 74,    719.31,  0.1540
 75,    721.78,  0.1582
 76,    719.87,  0.1588
 77,    721.43,  0.1683
 78,    724.64,  0.1588
 79,    716.38,  0.1643
 80,    722.20,  0.1645
 81,    726.28,  0.1625
 82,    724.85,  0.1512
 83,    716.89,  0.1691
 84,    723.55,  0.1708
 85,    719.77,  0.1784
 86,    717.49,  0.1605
 87,    718.22,  0.1669
 88,    721.69,  0.1677
 89,    718.80,  0.1627
 90,    714.36,  0.1692
 91,    722.13,  0.1571
 92,    717.21,  0.1597
 93,    722.90,  0.1647
 94,    717.74,  0.1745
 95,    726.15,  0.1723
 96,    717.60,  0.1595
 97,    716.76,  0.1696
 98,    715.69,  0.1636
 99,    713.25,  0.1710
100,    724.04,  0.1718
101,    712.67,  0.1659
102,    719.15,  0.1608
103,    728.54,  0.1607
104,    713.30,  0.1534
105,    719.81,  0.1733
106,    718.81,  0.1608
107,    716.58,  0.1680
108,    718.10,  0.1540
109,    719.66,  0.1644
110,    713.62,  0.1582
111,    712.36,  0.1639
112,    718.56,  0.1562
113,    721.32,  0.1526
114,    714.90,  0.1442
115,    720.36,  0.1522
116,    714.56,  0.1584
117,    722.31,  0.1583
118,    720.23,  0.1546
119,    721.40,  0.1582
