Epoch,PPL,NPMI
  0,    961.91,  0.3429
  1,    919.54,  0.3646
  2,    892.10,  0.3968
  3,    864.70,  0.4199
  4,    843.18,  0.4391
  5,    827.67,  0.4549
  6,    809.83,  0.4685
  7,    801.36,  0.4748
  8,    788.81,  0.4780
  9,    776.18,  0.4870
 10,    765.01,  0.4922
 11,    762.96,  0.4912
 12,    751.42,  0.4885
 13,    745.14,  0.4869
 14,    744.06,  0.4936
 15,    745.57,  0.4916
 16,    732.76,  0.4960
 17,    732.24,  0.4958
 18,    730.60,  0.4941
 19,    721.84,  0.4934
 20,    719.36,  0.4913
 21,    713.97,  0.4967
 22,    718.90,  0.4976
 23,    712.36,  0.4964
 24,    704.54,  0.4982
 25,    708.51,  0.4972
 26,    708.50,  0.4937
 27,    702.26,  0.4922
 28,    699.81,  0.4949
 29,    701.55,  0.4934
 30,    698.58,  0.4934
 31,    699.08,  0.4940
 32,    693.50,  0.4966
 33,    692.91,  0.4990
 34,    689.86,  0.4993
 35,    690.96,  0.4993
 36,    696.20,  0.4938
 37,    687.43,  0.4946
 38,    688.17,  0.4983
 39,    681.95,  0.4962
 40,    685.75,  0.4940
 41,    683.85,  0.4916
 42,    682.69,  0.4893
 43,    683.90,  0.4895
 44,    682.79,  0.4895
 45,    682.72,  0.4867
 46,    680.07,  0.4823
 47,    678.41,  0.4823
 48,    680.39,  0.4800
 49,    675.68,  0.4798
 50,    678.98,  0.4801
 51,    677.32,  0.4808
 52,    677.84,  0.4788
 53,    675.92,  0.4772
 54,    677.37,  0.4755
 55,    674.09,  0.4731
 56,    677.92,  0.4731
 57,    674.76,  0.4731
 58,    677.35,  0.4732
 59,    675.62,  0.4732
 60,    673.16,  0.4732
 61,    672.52,  0.4750
 62,    670.14,  0.4750
 63,    672.85,  0.4750
 64,    673.17,  0.4750
 65,    667.86,  0.4739
 66,    669.04,  0.4727
 67,    671.90,  0.4687
 68,    668.91,  0.4669
 69,    669.12,  0.4655
 70,    666.84,  0.4655
 71,    668.32,  0.4644
 72,    667.57,  0.4644
 73,    664.87,  0.4644
 74,    666.74,  0.4629
 75,    666.22,  0.4634
 76,    668.21,  0.4674
 77,    666.64,  0.4642
 78,    664.51,  0.4615
 79,    664.83,  0.4575
 80,    663.38,  0.4628
 81,    663.25,  0.4628
 82,    665.01,  0.4586
 83,    661.78,  0.4579
 84,    664.28,  0.4550
 85,    661.48,  0.4550
 86,    664.14,  0.4536
 87,    662.58,  0.4500
 88,    662.74,  0.4494
 89,    660.64,  0.4510
 90,    663.19,  0.4508
 91,    660.21,  0.4487
 92,    659.67,  0.4487
 93,    661.62,  0.4507
 94,    660.41,  0.4428
 95,    657.01,  0.4415
 96,    664.14,  0.4415
 97,    658.43,  0.4395
 98,    658.68,  0.4413
 99,    659.69,  0.4389
100,    660.40,  0.4326
101,    655.55,  0.4326
102,    661.62,  0.4326
103,    657.76,  0.4326
104,    653.87,  0.4292
105,    655.19,  0.4292
106,    655.65,  0.4275
107,    656.97,  0.4208
108,    656.01,  0.4208
109,    654.43,  0.4225
110,    653.53,  0.4185
111,    654.22,  0.4185
112,    653.90,  0.4154
113,    653.67,  0.4171
114,    653.40,  0.4145
115,    652.63,  0.4145
116,    658.03,  0.4158
117,    653.49,  0.4158
118,    654.56,  0.4158
119,    649.63,  0.4158
