Epoch,PPL,NPMI
  0,   1816.08,  0.1423
  1,   1601.31,  0.1160
  2,   1542.68,  0.0868
  3,   1494.86,  0.0686
  4,   1467.50,  0.0530
  5,   1428.79,  0.0493
  6,   1431.06,  0.0471
  7,   1418.15,  0.0400
  8,   1427.47,  0.0402
  9,   1426.52,  0.0401
 10,   1407.07,  0.0317
 11,   1387.76,  0.0320
 12,   1413.31,  0.0315
 13,   1395.46,  0.0301
 14,   1417.20,  0.0283
 15,   1397.37,  0.0273
 16,   1414.29,  0.0288
 17,   1404.97,  0.0267
 18,   1400.69,  0.0268
 19,   1374.25,  0.0272
 20,   1348.15,  0.0271
 21,   1396.49,  0.0294
 22,   1389.73,  0.0253
 23,   1409.87,  0.0250
 24,   1403.67,  0.0222
 25,   1393.65,  0.0231
 26,   1384.78,  0.0220
 27,   1383.69,  0.0217
 28,   1407.48,  0.0249
 29,   1402.03,  0.0222
 30,   1384.16,  0.0230
 31,   1365.26,  0.0247
 32,   1394.45,  0.0226
 33,   1380.00,  0.0269
 34,   1353.58,  0.0260
 35,   1401.50,  0.0241
 36,   1386.29,  0.0258
 37,   1382.15,  0.0255
 38,   1397.71,  0.0252
 39,   1391.85,  0.0233
 40,   1395.39,  0.0254
 41,   1389.21,  0.0196
 42,   1372.10,  0.0198
 43,   1392.22,  0.0211
 44,   1382.94,  0.0248
 45,   1375.61,  0.0231
 46,   1389.53,  0.0223
 47,   1402.02,  0.0216
 48,   1369.69,  0.0187
 49,   1382.97,  0.0198
 50,   1371.21,  0.0221
 51,   1380.42,  0.0206
 52,   1391.58,  0.0184
 53,   1387.57,  0.0180
 54,   1396.61,  0.0168
 55,   1387.12,  0.0230
 56,   1375.77,  0.0204
 57,   1377.81,  0.0190
 58,   1396.56,  0.0187
 59,   1350.71,  0.0182
 60,   1375.56,  0.0169
 61,   1382.01,  0.0181
 62,   1383.50,  0.0195
 63,   1362.69,  0.0183
 64,   1389.61,  0.0220
 65,   1370.92,  0.0192
 66,   1391.03,  0.0187
 67,   1409.55,  0.0191
 68,   1384.10,  0.0178
 69,   1369.25,  0.0203
 70,   1378.66,  0.0221
 71,   1357.94,  0.0226
 72,   1389.29,  0.0194
 73,   1376.15,  0.0241
 74,   1372.38,  0.0238
 75,   1370.05,  0.0212
 76,   1368.17,  0.0208
 77,   1385.92,  0.0194
 78,   1375.74,  0.0193
 79,   1393.05,  0.0175
 80,   1384.83,  0.0171
 81,   1403.79,  0.0187
 82,   1355.37,  0.0197
 83,   1386.64,  0.0205
 84,   1396.16,  0.0193
 85,   1380.17,  0.0212
 86,   1374.95,  0.0203
 87,   1367.48,  0.0231
 88,   1382.62,  0.0202
 89,   1377.09,  0.0195
 90,   1393.85,  0.0172
 91,   1369.16,  0.0175
 92,   1382.14,  0.0150
 93,   1349.38,  0.0194
 94,   1415.86,  0.0159
 95,   1363.51,  0.0153
 96,   1406.58,  0.0187
 97,   1397.37,  0.0167
 98,   1382.29,  0.0164
 99,   1385.78,  0.0173
100,   1392.33,  0.0164
101,   1373.85,  0.0165
102,   1365.32,  0.0149
103,   1396.11,  0.0159
104,   1380.33,  0.0211
105,   1369.32,  0.0192
106,   1399.06,  0.0204
107,   1389.05,  0.0209
108,   1380.66,  0.0233
109,   1390.01,  0.0209
110,   1378.77,  0.0191
111,   1402.18,  0.0167
112,   1411.43,  0.0159
113,   1389.28,  0.0159
114,   1390.82,  0.0171
115,   1388.24,  0.0176
116,   1378.63,  0.0175
117,   1387.72,  0.0175
118,   1375.98,  0.0183
119,   1393.42,  0.0194
