Epoch,PPL,NPMI
  0,   3288.35,  0.2181
  1,   2948.63,  0.2377
  2,   2719.24,  0.2528
  3,   2530.37,  0.2622
  4,   2383.19,  0.2747
  5,   2291.18,  0.2924
  6,   2204.61,  0.3024
  7,   2155.44,  0.3109
  8,   2079.48,  0.3214
  9,   2054.39,  0.3295
 10,   1998.98,  0.3317
 11,   1969.24,  0.3361
 12,   1936.63,  0.3392
 13,   1898.27,  0.3407
 14,   1880.97,  0.3411
 15,   1866.78,  0.3444
 16,   1842.78,  0.3434
 17,   1839.78,  0.3460
 18,   1817.13,  0.3465
 19,   1792.27,  0.3469
 20,   1792.56,  0.3451
 21,   1762.04,  0.3449
 22,   1746.44,  0.3464
 23,   1735.63,  0.3438
 24,   1722.86,  0.3433
 25,   1700.80,  0.3396
 26,   1697.60,  0.3396
 27,   1673.92,  0.3389
 28,   1695.32,  0.3353
 29,   1674.54,  0.3326
 30,   1653.89,  0.3322
 31,   1654.40,  0.3277
 32,   1633.66,  0.3274
 33,   1633.64,  0.3291
 34,   1616.88,  0.3267
 35,   1617.71,  0.3256
 36,   1618.83,  0.3245
 37,   1613.20,  0.3212
 38,   1593.76,  0.3193
 39,   1600.10,  0.3201
 40,   1580.57,  0.3189
 41,   1566.99,  0.3153
 42,   1561.99,  0.3188
 43,   1554.19,  0.3164
 44,   1567.44,  0.3159
 45,   1549.85,  0.3154
 46,   1550.60,  0.3124
 47,   1528.85,  0.3129
 48,   1541.82,  0.3105
 49,   1521.64,  0.3088
 50,   1516.82,  0.3090
 51,   1514.53,  0.3055
 52,   1513.43,  0.3059
 53,   1500.88,  0.3043
 54,   1510.50,  0.3024
 55,   1485.11,  0.3027
 56,   1469.96,  0.3019
 57,   1473.67,  0.2997
 58,   1489.28,  0.2996
 59,   1471.14,  0.2973
 60,   1461.55,  0.2974
 61,   1477.70,  0.2950
 62,   1482.48,  0.2935
 63,   1441.13,  0.2943
 64,   1454.64,  0.2948
 65,   1439.51,  0.2941
 66,   1449.21,  0.2937
 67,   1432.10,  0.2929
 68,   1419.30,  0.2931
 69,   1438.85,  0.2898
 70,   1428.23,  0.2911
 71,   1420.53,  0.2887
 72,   1414.54,  0.2886
 73,   1407.72,  0.2875
 74,   1398.18,  0.2892
 75,   1393.45,  0.2870
 76,   1403.67,  0.2873
 77,   1402.38,  0.2869
 78,   1378.85,  0.2848
 79,   1381.13,  0.2809
 80,   1377.99,  0.2827
 81,   1381.51,  0.2806
 82,   1362.46,  0.2755
 83,   1359.64,  0.2738
 84,   1357.83,  0.2732
 85,   1359.82,  0.2730
 86,   1355.34,  0.2737
 87,   1351.27,  0.2731
 88,   1342.77,  0.2701
 89,   1342.38,  0.2682
 90,   1341.43,  0.2652
 91,   1335.35,  0.2658
 92,   1334.31,  0.2658
 93,   1325.31,  0.2633
 94,   1337.65,  0.2631
 95,   1333.25,  0.2626
 96,   1324.80,  0.2619
 97,   1308.78,  0.2612
 98,   1332.46,  0.2627
 99,   1312.98,  0.2628
100,   1311.71,  0.2629
101,   1301.26,  0.2624
102,   1299.31,  0.2616
103,   1302.28,  0.2595
104,   1301.97,  0.2572
105,   1289.06,  0.2572
106,   1284.46,  0.2580
107,   1290.76,  0.2573
108,   1284.41,  0.2552
109,   1281.71,  0.2551
110,   1273.03,  0.2549
111,   1270.33,  0.2549
112,   1268.97,  0.2540
113,   1265.24,  0.2528
114,   1273.67,  0.2535
115,   1261.07,  0.2526
116,   1253.55,  0.2490
117,   1261.82,  0.2498
118,   1264.56,  0.2479
119,   1256.14,  0.2482
