Epoch,PPL,NPMI
  0,   1723.88,  0.0880
  1,   1649.97,  0.0972
  2,   1624.80,  0.1053
  3,   1605.10,  0.1108
  4,   1592.95,  0.1087
  5,   1581.64,  0.1113
  6,   1560.12,  0.1115
  7,   1560.42,  0.1060
  8,   1546.72,  0.0987
  9,   1562.51,  0.1007
 10,   1547.36,  0.1014
 11,   1541.94,  0.1002
 12,   1544.14,  0.0997
 13,   1553.47,  0.0954
 14,   1547.95,  0.0979
 15,   1555.52,  0.0957
 16,   1541.68,  0.0967
 17,   1544.69,  0.0949
 18,   1513.22,  0.0928
 19,   1533.09,  0.0913
 20,   1530.96,  0.0953
 21,   1534.60,  0.0943
 22,   1550.21,  0.0944
 23,   1532.26,  0.0970
 24,   1539.09,  0.0936
 25,   1537.09,  0.0940
 26,   1550.67,  0.0943
 27,   1540.17,  0.0938
 28,   1542.15,  0.0933
 29,   1539.01,  0.0941
 30,   1539.68,  0.0911
 31,   1540.13,  0.0933
 32,   1523.09,  0.0914
 33,   1525.71,  0.0943
 34,   1546.48,  0.0907
 35,   1550.71,  0.0936
 36,   1544.15,  0.0948
 37,   1540.25,  0.0906
 38,   1548.46,  0.0914
 39,   1530.63,  0.0901
 40,   1536.15,  0.0946
 41,   1530.19,  0.0944
 42,   1555.45,  0.0928
 43,   1543.44,  0.0938
 44,   1543.33,  0.0951
 45,   1527.86,  0.0941
 46,   1525.70,  0.0938
 47,   1544.76,  0.0938
 48,   1527.68,  0.0952
 49,   1521.45,  0.0921
 50,   1548.46,  0.0920
 51,   1511.75,  0.0915
 52,   1534.26,  0.0912
 53,   1527.11,  0.0906
 54,   1522.15,  0.0914
 55,   1532.43,  0.0922
 56,   1544.20,  0.0909
 57,   1539.02,  0.0930
 58,   1534.56,  0.0913
 59,   1539.70,  0.0922
 60,   1532.86,  0.0959
 61,   1541.41,  0.0950
 62,   1542.06,  0.0930
 63,   1529.63,  0.0919
 64,   1550.96,  0.0930
 65,   1531.94,  0.0899
 66,   1559.89,  0.0896
 67,   1526.55,  0.0904
 68,   1545.20,  0.0891
 69,   1517.60,  0.0890
 70,   1539.52,  0.0861
 71,   1538.27,  0.0894
 72,   1537.00,  0.0890
 73,   1558.78,  0.0880
 74,   1520.57,  0.0871
 75,   1544.60,  0.0870
 76,   1547.63,  0.0858
 77,   1546.12,  0.0880
 78,   1532.00,  0.0907
 79,   1543.04,  0.0880
 80,   1522.63,  0.0888
 81,   1542.24,  0.0903
 82,   1521.38,  0.0902
 83,   1541.08,  0.0902
 84,   1542.72,  0.0880
 85,   1535.05,  0.0879
 86,   1530.52,  0.0879
 87,   1538.14,  0.0883
 88,   1533.63,  0.0900
 89,   1521.42,  0.0892
 90,   1519.12,  0.0904
 91,   1524.74,  0.0894
 92,   1519.33,  0.0868
 93,   1517.74,  0.0888
 94,   1541.78,  0.0887
 95,   1526.31,  0.0886
 96,   1557.89,  0.0879
 97,   1525.93,  0.0858
 98,   1540.56,  0.0862
 99,   1519.01,  0.0885
100,   1521.81,  0.0858
101,   1542.82,  0.0877
102,   1538.62,  0.0888
103,   1503.02,  0.0870
104,   1542.67,  0.0890
105,   1528.08,  0.0867
106,   1521.98,  0.0887
107,   1519.54,  0.0836
108,   1523.90,  0.0835
109,   1537.89,  0.0832
110,   1531.97,  0.0858
111,   1540.94,  0.0845
112,   1544.07,  0.0874
113,   1536.39,  0.0857
114,   1537.18,  0.0852
115,   1551.85,  0.0862
116,   1543.69,  0.0834
117,   1531.44,  0.0824
118,   1547.01,  0.0846
119,   1549.05,  0.0878
120,   1552.01,  0.0878
121,   1545.53,  0.0879
122,   1524.64,  0.0876
123,   1531.88,  0.0866
124,   1527.35,  0.0840
125,   1527.68,  0.0859
126,   1530.87,  0.0848
127,   1545.01,  0.0882
128,   1542.25,  0.0827
129,   1543.57,  0.0873
130,   1530.10,  0.0857
131,   1533.61,  0.0880
132,   1539.12,  0.0866
133,   1517.46,  0.0840
134,   1515.09,  0.0849
135,   1517.36,  0.0861
136,   1532.17,  0.0859
137,   1526.97,  0.0881
138,   1544.75,  0.0849
139,   1546.33,  0.0837
140,   1549.52,  0.0876
141,   1543.93,  0.0866
142,   1537.69,  0.0904
143,   1540.66,  0.0867
144,   1515.97,  0.0917
145,   1537.53,  0.0896
146,   1523.85,  0.0856
147,   1556.01,  0.0869
148,   1540.72,  0.0893
149,   1534.95,  0.0869
150,   1544.58,  0.0863
151,   1540.04,  0.0845
152,   1539.38,  0.0831
153,   1526.60,  0.0866
154,   1544.76,  0.0900
155,   1534.07,  0.0889
156,   1546.56,  0.0862
157,   1528.99,  0.0845
158,   1522.86,  0.0853
159,   1519.57,  0.0833
160,   1556.66,  0.0854
161,   1557.01,  0.0849
162,   1546.26,  0.0850
163,   1532.63,  0.0855
164,   1543.66,  0.0864
165,   1545.19,  0.0900
166,   1510.57,  0.0882
167,   1524.22,  0.0831
168,   1562.03,  0.0863
169,   1511.30,  0.0825
170,   1539.19,  0.0817
171,   1523.10,  0.0839
172,   1561.75,  0.0866
173,   1544.80,  0.0852
174,   1534.32,  0.0848
175,   1552.31,  0.0856
176,   1550.16,  0.0879
177,   1520.28,  0.0859
178,   1536.68,  0.0852
179,   1536.06,  0.0860
