Epoch,PPL,NPMI
  0,   3495.24,  0.2042
  1,   3228.20,  0.2241
  2,   3042.12,  0.2361
  3,   2908.26,  0.2455
  4,   2751.44,  0.2578
  5,   2628.34,  0.2704
  6,   2601.92,  0.2802
  7,   2523.88,  0.2857
  8,   2452.26,  0.2950
  9,   2455.20,  0.3033
 10,   2396.08,  0.3070
 11,   2351.72,  0.3118
 12,   2331.87,  0.3169
 13,   2260.91,  0.3224
 14,   2281.80,  0.3274
 15,   2259.80,  0.3299
 16,   2254.04,  0.3333
 17,   2228.88,  0.3393
 18,   2221.57,  0.3419
 19,   2168.37,  0.3457
 20,   2160.80,  0.3477
 21,   2154.55,  0.3502
 22,   2126.42,  0.3528
 23,   2147.76,  0.3562
 24,   2136.45,  0.3582
 25,   2097.65,  0.3594
 26,   2079.30,  0.3598
 27,   2080.92,  0.3604
 28,   2081.17,  0.3598
 29,   2083.17,  0.3617
 30,   2041.89,  0.3627
 31,   2073.90,  0.3635
 32,   2059.91,  0.3615
 33,   2041.97,  0.3597
 34,   2020.09,  0.3601
 35,   2019.60,  0.3605
 36,   2022.80,  0.3597
 37,   2037.72,  0.3590
 38,   2003.84,  0.3567
 39,   2008.05,  0.3541
 40,   1985.66,  0.3518
 41,   1995.09,  0.3498
 42,   1983.45,  0.3506
 43,   1972.85,  0.3525
 44,   1975.42,  0.3527
 45,   1978.09,  0.3466
 46,   1985.68,  0.3452
 47,   1955.57,  0.3418
 48,   1958.26,  0.3400
 49,   1943.45,  0.3393
 50,   1944.86,  0.3384
 51,   1942.20,  0.3409
 52,   1939.36,  0.3398
 53,   1938.42,  0.3389
 54,   1951.23,  0.3333
 55,   1925.71,  0.3355
 56,   1921.01,  0.3352
 57,   1926.20,  0.3341
 58,   1926.50,  0.3329
 59,   1916.11,  0.3299
 60,   1913.04,  0.3275
 61,   1940.79,  0.3262
 62,   1930.02,  0.3230
 63,   1894.25,  0.3209
 64,   1901.97,  0.3207
 65,   1895.86,  0.3194
 66,   1898.18,  0.3207
 67,   1876.82,  0.3150
 68,   1888.78,  0.3137
 69,   1885.83,  0.3072
 70,   1891.80,  0.3039
 71,   1894.73,  0.3042
 72,   1884.99,  0.3031
 73,   1875.62,  0.3018
 74,   1867.48,  0.3032
 75,   1869.45,  0.3013
 76,   1866.02,  0.3010
 77,   1886.33,  0.3000
 78,   1851.78,  0.2993
 79,   1854.37,  0.2995
 80,   1861.73,  0.2943
 81,   1861.41,  0.2943
 82,   1867.90,  0.2904
 83,   1849.75,  0.2917
 84,   1841.76,  0.2907
 85,   1849.78,  0.2918
 86,   1864.86,  0.2923
 87,   1837.88,  0.2939
 88,   1837.38,  0.2913
 89,   1847.22,  0.2909
 90,   1837.60,  0.2912
 91,   1826.94,  0.2886
 92,   1840.83,  0.2882
 93,   1835.58,  0.2871
 94,   1832.63,  0.2869
 95,   1835.72,  0.2843
 96,   1817.94,  0.2847
 97,   1824.86,  0.2805
 98,   1839.87,  0.2815
 99,   1821.38,  0.2807
100,   1811.75,  0.2798
101,   1818.43,  0.2805
102,   1818.32,  0.2808
103,   1817.22,  0.2764
104,   1813.52,  0.2778
105,   1809.59,  0.2771
106,   1807.85,  0.2734
107,   1810.85,  0.2713
108,   1811.78,  0.2718
109,   1806.60,  0.2736
110,   1801.23,  0.2685
111,   1795.37,  0.2731
112,   1807.09,  0.2731
113,   1799.46,  0.2676
114,   1788.17,  0.2666
115,   1791.77,  0.2660
116,   1782.16,  0.2668
117,   1800.01,  0.2671
118,   1791.92,  0.2651
119,   1783.53,  0.2661
